cluster_id	cluster_written	reads_found	reads_found_fwd	reads_found_rev	reads_written_fwd	reads_written_rev	reads_skipped_fwd	reads_skipped_rev
100_sub0	1	20	20	0	20	0	0	0
10012_sub0	1	13	13	0	13	0	0	0
1014_sub0	1	9	9	0	9	0	0	0
10168_sub0	1	17	17	0	17	0	0	0
10291_sub0	1	14	14	0	14	0	0	0
10357_sub0	1	17	17	0	17	0	0	0
10374_sub0	1	10	10	0	10	0	0	0
10399_sub0	1	6	0	6	0	6	0	0
10553_sub0	1	12	12	0	12	0	0	0
1059_sub0	1	14	14	0	14	0	0	0
10615_sub0	1	16	16	0	16	0	0	0
10626_sub0	1	6	6	0	6	0	0	0
1064_sub0	1	25	25	0	20	0	5	0
10653_sub0	1	21	21	0	20	0	1	0
10654_sub0	1	7	0	7	0	7	0	0
10708_sub0	1	10	10	0	10	0	0	0
1072_sub0	1	27	27	0	20	0	7	0
10728_sub0	1	8	8	0	8	0	0	0
1083_sub0	1	24	24	0	20	0	4	0
10862_sub0	1	18	18	0	18	0	0	0
10902_sub0	1	6	6	0	6	0	0	0
1091_sub0	1	20	20	0	20	0	0	0
10916_sub0	1	7	7	0	7	0	0	0
11007_sub0	1	12	12	0	12	0	0	0
11045_sub0	1	13	13	0	13	0	0	0
1106_sub0	1	13	13	0	13	0	0	0
11121_sub0	1	12	12	0	12	0	0	0
11199_sub0	1	11	11	0	11	0	0	0
11222_sub0	1	9	9	0	9	0	0	0
1131_sub0	1	24	24	0	20	0	4	0
11316_sub0	1	12	12	0	12	0	0	0
11328_sub0	1	21	21	0	20	0	1	0
11404_sub0	1	6	6	0	6	0	0	0
11412_sub0	1	9	9	0	9	0	0	0
11429_sub0	1	14	14	0	14	0	0	0
11443_sub0	1	16	16	0	16	0	0	0
11452_sub0	1	10	10	0	10	0	0	0
11526_sub0	1	7	7	0	7	0	0	0
11567_sub0	1	21	21	0	20	0	1	0
11605_sub0	1	9	9	0	9	0	0	0
11719_sub0	1	7	7	0	7	0	0	0
1197_sub0	1	13	13	0	13	0	0	0
12018_sub0	1	7	7	0	7	0	0	0
12021_sub0	1	14	14	0	14	0	0	0
1204_sub0	1	6	6	0	6	0	0	0
12079_sub0	1	10	10	0	10	0	0	0
12129_sub0	1	7	7	0	7	0	0	0
12131_sub0	1	12	12	0	12	0	0	0
1214_sub0	1	12	12	0	12	0	0	0
1253_sub0	1	11	11	0	11	0	0	0
12545_sub0	1	6	6	0	6	0	0	0
12551_sub0	1	6	6	0	6	0	0	0
12579_sub0	1	10	10	0	10	0	0	0
12606_sub0	1	15	15	0	15	0	0	0
1268_sub0	1	20	20	0	20	0	0	0
1273_sub0	1	14	14	0	14	0	0	0
12765_sub0	1	9	9	0	9	0	0	0
12781_sub0	1	11	11	0	11	0	0	0
12798_sub0	1	9	9	0	9	0	0	0
12922_sub0	1	6	6	0	6	0	0	0
13054_sub0	1	7	7	0	7	0	0	0
13093_sub0	1	11	11	0	11	0	0	0
1312_sub0	1	17	17	0	17	0	0	0
