log_file	region	median_depth
barcode02_combined_clusters_10_smolecule.log	13675:0.0-5193.0	10.0
barcode02_combined_clusters_10_smolecule.log	13666:0.0-5194.0	20.0
barcode02_combined_clusters_10_smolecule.log	13679:0.0-5199.0	20.0
barcode02_combined_clusters_10_smolecule.log	1367:0.0-5199.0	6.0
barcode02_combined_clusters_10_smolecule.log	1369:0.0-5196.0	13.0
barcode02_combined_clusters_10_smolecule.log	13729:0.0-5193.0	17.0
barcode02_combined_clusters_10_smolecule.log	13732:0.0-5199.0	11.0
barcode02_combined_clusters_10_smolecule.log	13752:0.0-5193.0	8.0
barcode02_combined_clusters_10_smolecule.log	13754:0.0-5192.0	6.0
barcode02_combined_clusters_10_smolecule.log	13779:0.0-5201.0	14.0
barcode02_combined_clusters_10_smolecule.log	1375:0.0-5198.0	15.0
barcode02_combined_clusters_10_smolecule.log	13784:0.0-5198.0	8.0
barcode02_combined_clusters_10_smolecule.log	13805:0.0-5195.0	20.0
barcode02_combined_clusters_10_smolecule.log	13811:0.0-5199.0	13.0
barcode02_combined_clusters_10_smolecule.log	1384:0.0-5198.0	7.0
barcode02_combined_clusters_10_smolecule.log	13834:0.0-5196.0	18.0
barcode02_combined_clusters_10_smolecule.log	13863:0.0-5193.0	12.0
barcode02_combined_clusters_10_smolecule.log	1387:0.0-5194.0	18.0
barcode02_combined_clusters_10_smolecule.log	13897:0.0-5199.0	7.0
barcode02_combined_clusters_10_smolecule.log	13882:0.0-5189.0	12.0
barcode02_combined_clusters_10_smolecule.log	138:0.0-5195.0	9.0
barcode02_combined_clusters_10_smolecule.log	13908:0.0-5201.0	10.0
barcode02_combined_clusters_10_smolecule.log	13909:0.0-5194.0	15.0
barcode02_combined_clusters_10_smolecule.log	13925:0.0-5195.0	16.0
barcode02_combined_clusters_10_smolecule.log	1392:0.0-5194.0	12.0
barcode02_combined_clusters_10_smolecule.log	13933:0.0-5197.0	11.0
barcode02_combined_clusters_10_smolecule.log	13952:0.0-5194.0	6.0
barcode02_combined_clusters_10_smolecule.log	13969:0.0-5195.0	6.0
barcode02_combined_clusters_10_smolecule.log	13973:0.0-5193.0	7.0
