log_file	region	median_depth
barcode02_combined_clusters_100.log	209_sub1:0.0-5103.0	17.0
barcode02_combined_clusters_100.log	2100_sub0:0.0-5103.0	11.0
barcode02_combined_clusters_100.log	21019_sub0:0.0-5103.0	9.0
barcode02_combined_clusters_100.log	2102_sub0:0.0-5103.0	28.0
barcode02_combined_clusters_100.log	2104_sub1:0.0-5103.0	8.0
barcode02_combined_clusters_100.log	21067_sub0:0.0-5103.0	7.0
barcode02_combined_clusters_100.log	2111_sub0:0.0-5103.0	8.0
barcode02_combined_clusters_100.log	21120_sub0:0.0-5103.0	10.0
barcode02_combined_clusters_100.log	21131_sub0:0.0-5103.0	14.0
barcode02_combined_clusters_100.log	21141_sub0:0.0-5103.0	10.0
barcode02_combined_clusters_101.log	21207_sub0:0.0-5103.0	6.0
barcode02_combined_clusters_101.log	2117_sub0:0.0-5103.0	15.0
barcode02_combined_clusters_101.log	21215_sub0:0.0-5103.0	15.0
barcode02_combined_clusters_101.log	2122_sub0:0.0-5103.0	18.0
barcode02_combined_clusters_101.log	21239_sub0:0.0-5103.0	8.0
barcode02_combined_clusters_101.log	21245_sub0:0.0-5103.0	11.0
barcode02_combined_clusters_101.log	21274_sub0:0.0-5103.0	10.0
barcode02_combined_clusters_101.log	2126_sub0:0.0-5103.0	15.0
barcode02_combined_clusters_101.log	21291_sub1:0.0-5103.0	8.0
barcode02_combined_clusters_101.log	2131_sub0:0.0-5103.0	21.0
barcode02_combined_clusters_102.log	21326_sub0:0.0-5103.0	9.0
barcode02_combined_clusters_102.log	21321_sub0:0.0-5103.0	12.0
barcode02_combined_clusters_102.log	2133_sub1:0.0-5103.0	19.0
barcode02_combined_clusters_102.log	21343_sub0:0.0-5103.0	9.0
barcode02_combined_clusters_102.log	21360_sub0:0.0-5103.0	7.0
barcode02_combined_clusters_102.log	21369_sub0:0.0-5103.0	11.0
barcode02_combined_clusters_102.log	21380_sub0:0.0-5103.0	6.0
barcode02_combined_clusters_102.log	21409_sub0:0.0-5103.0	18.0
barcode02_combined_clusters_102.log	2140_sub0:0.0-5103.0	6.0
barcode02_combined_clusters_102.log	2141_sub0:0.0-5103.0	17.0
barcode02_combined_clusters_103.log	21509_sub0:0.0-5103.0	8.0
barcode02_combined_clusters_103.log	2144_sub1:0.0-5103.0	8.0
barcode02_combined_clusters_103.log	21532_sub0:0.0-5103.0	6.0
barcode02_combined_clusters_103.log	2154_sub1:0.0-5103.0	9.0
barcode02_combined_clusters_103.log	21574_sub0:0.0-5103.0	6.0
barcode02_combined_clusters_103.log	21580_sub0:0.0-5103.0	19.0
barcode02_combined_clusters_103.log	21591_sub0:0.0-5103.0	6.0
barcode02_combined_clusters_103.log	2162_sub0:0.0-5103.0	7.0
barcode02_combined_clusters_103.log	21676_sub0:0.0-5103.0	12.0
barcode02_combined_clusters_103.log	21669_sub0:0.0-5103.0	13.0
barcode02_combined_clusters_104.log	2168_sub0:0.0-5103.0	14.0
barcode02_combined_clusters_104.log	21722_sub0:0.0-5103.0	10.0
barcode02_combined_clusters_104.log	2175_sub0:0.0-5103.0	20.0
