task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	b5/09c894	4050004	UMI_PIPELINE:PARSE_BED (1)	COMPLETED	0	2025-07-14 03:03:16.319	950ms	3ms	237.0%	0	0	57.6 KB	244 B
5	f2/ed86c0	4050037	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (4)	COMPLETED	0	2025-07-14 03:03:16.336	17.6s	15.3s	99.0%	24.5 MB	126.6 MB	420.4 MB	353.7 MB
1	5c/14f879	4050020	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (1)	COMPLETED	0	2025-07-14 03:03:16.329	17.9s	17s	100.1%	24.5 MB	126.6 MB	469.9 MB	396.2 MB
4	39/5345e3	4050064	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (3)	COMPLETED	0	2025-07-14 03:03:16.343	18.5s	17s	100.1%	24.6 MB	126.6 MB	469.5 MB	395.7 MB
6	2f/a51ac3	4050108	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (5)	COMPLETED	0	2025-07-14 03:03:16.357	18.5s	17.1s	100.1%	24.7 MB	126.6 MB	470.4 MB	398.2 MB
3	84/50fd7e	4050091	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (2)	COMPLETED	0	2025-07-14 03:03:16.350	18.5s	17s	100.1%	24.4 MB	126.6 MB	470.3 MB	395.9 MB
7	7d/2613aa	4054339	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (1)	COMPLETED	0	2025-07-14 03:03:34.996	8.3s	7.3s	1017.6%	916.4 MB	26.6 GB	867.9 MB	514.1 MB
8	a1/cd079b	4054602	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (2)	COMPLETED	0	2025-07-14 03:03:36.178	12.9s	10.7s	771.4%	1 GB	29.2 GB	971.7 MB	575.4 MB
9	ba/256524	4054775	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (3)	COMPLETED	0	2025-07-14 03:03:37.822	11.8s	10.9s	777.8%	1 GB	28.9 GB	970.8 MB	575 MB
10	23/190854	4055293	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (4)	COMPLETED	0	2025-07-14 03:03:39.066	11.6s	9.7s	873.3%	874.7 MB	26.7 GB	976.6 MB	578.3 MB
11	07/746613	4055788	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (5)	COMPLETED	0	2025-07-14 03:03:40.742	10.6s	8.9s	939.5%	964.9 MB	26.7 GB	971.7 MB	575.7 MB
12	c5/d112f2	4056688	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (1)	COMPLETED	0	2025-07-14 03:03:43.434	13.6s	11.2s	98.6%	23.6 MB	126.1 MB	142.3 MB	354.4 MB
13	13/1adcc4	4058416	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (2)	COMPLETED	0	2025-07-14 03:03:49.144	11.8s	10.7s	99.8%	23.6 MB	126.1 MB	159.4 MB	396.3 MB
14	b8/96faa2	4058800	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (3)	COMPLETED	0	2025-07-14 03:03:49.685	11.7s	10.7s	99.7%	23.8 MB	126.1 MB	159.5 MB	396.2 MB
15	fe/54e902	4059430	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (4)	COMPLETED	0	2025-07-14 03:03:50.734	11.3s	10.5s	100.1%	23.7 MB	126.1 MB	160 MB	398.8 MB
16	fa/4e5bb3	4059783	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (5)	COMPLETED	0	2025-07-14 03:03:51.404	11.6s	10.5s	100.0%	23.8 MB	126.1 MB	160.2 MB	396.5 MB
17	03/4dbfbb	4061526	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (1)	COMPLETED	0	2025-07-14 03:03:57.655	6.4s	5.4s	100.4%	31.1 MB	133.3 MB	287 MB	247.1 MB
18	1d/813212	4062676	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (2)	COMPLETED	0	2025-07-14 03:04:01.500	12.2s	6.1s	100.0%	31.5 MB	133.3 MB	323.4 MB	276.5 MB
20	94/e0f735	4063222	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (4)	COMPLETED	0	2025-07-14 03:04:02.608	11.1s	6.2s	99.2%	31.3 MB	133.4 MB	328.2 MB	280.7 MB
21	bc/5dc437	4063504	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (5)	COMPLETED	0	2025-07-14 03:04:03.514	10.2s	6s	99.2%	31.3 MB	133.3 MB	327.6 MB	281.9 MB
19	ce/8f4b4c	4062815	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (3)	COMPLETED	0	2025-07-14 03:04:02.024	11.7s	6s	100.0%	31.5 MB	133.4 MB	324.9 MB	278.1 MB
22	1b/79977b	4064963	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:CLUSTER (1)	COMPLETED	0	2025-07-14 03:04:13.727	25.6s	10.2s	966.5%	1.4 GB	4.4 GB	2.7 GB	3.6 GB
23	d3/2a8acb	4065834	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:REFORMAT_FILTER_CLUSTER (barcode02)	COMPLETED	0	2025-07-14 03:04:44.947	21.4s	17.8s	99.3%	41.5 MB	145.3 MB	374.4 MB	699.5 MB
25	25/e9e0ab	4069447	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:CLUSTER_STATS (barcode02)	COMPLETED	0	2025-07-14 03:05:06.599	2.6s	1.4s	280.5%	97 MB	1.5 GB	30.8 MB	175 KB
