task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	7f/c1589a	124199	UMI_PIPELINE:PARSE_BED (1)	COMPLETED	0	2025-07-09 09:40:58.887	917ms	3ms	106.7%	0	0	57.3 KB	236 B
5	82/184cf5	124220	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (4)	COMPLETED	0	2025-07-09 09:40:58.900	17.8s	15.6s	97.6%	24.2 MB	126.6 MB	420.4 MB	353.7 MB
4	19/508020	124245	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (3)	COMPLETED	0	2025-07-09 09:40:58.908	18.6s	17.3s	98.5%	24.5 MB	126.6 MB	469.5 MB	395.7 MB
6	07/517c0a	124288	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (5)	COMPLETED	0	2025-07-09 09:40:58.927	18.6s	17.3s	98.9%	24.7 MB	126.6 MB	470.4 MB	398.2 MB
2	bb/c9e327	124269	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (1)	COMPLETED	0	2025-07-09 09:40:58.917	18.8s	17.3s	98.6%	24.7 MB	126.6 MB	469.9 MB	396.2 MB
3	e6/c2f091	124306	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (2)	COMPLETED	0	2025-07-09 09:40:58.936	18.9s	17.4s	98.1%	24.8 MB	126.6 MB	470.3 MB	395.9 MB
7	22/dc94b0	128540	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (1)	COMPLETED	0	2025-07-09 09:41:17.866	8.7s	7.5s	994.1%	886.9 MB	26.6 GB	867.9 MB	514.1 MB
8	5d/64cf2e	128803	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (2)	COMPLETED	0	2025-07-09 09:41:18.990	12.3s	10.2s	819.0%	983.4 MB	26.8 GB	970.8 MB	575 MB
9	ba/29585f	129104	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (3)	COMPLETED	0	2025-07-09 09:41:20.799	11.3s	10.1s	836.8%	995.6 MB	27.9 GB	976.6 MB	578.3 MB
11	d1/1888ad	130046	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (5)	COMPLETED	0	2025-07-09 09:41:24.258	10s	7.8s	1064.3%	933.7 MB	26.8 GB	971.7 MB	575.7 MB
10	26/a479d1	129580	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (4)	COMPLETED	0	2025-07-09 09:41:22.322	11.9s	9.6s	866.5%	925.6 MB	26.8 GB	971.7 MB	575.4 MB
12	0a/1c234b	130844	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (1)	COMPLETED	0	2025-07-09 09:41:26.706	13.1s	11.1s	97.4%	23.6 MB	126.1 MB	142.3 MB	354.4 MB
13	6e/c79674	132343	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (2)	COMPLETED	0	2025-07-09 09:41:31.362	11.9s	10.7s	99.8%	23.9 MB	126.1 MB	159.5 MB	396.2 MB
14	02/973ad4	132721	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (3)	COMPLETED	0	2025-07-09 09:41:32.104	11.7s	10.7s	99.7%	23.9 MB	126.1 MB	160 MB	398.8 MB
16	b1/8b0b62	133721	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (5)	COMPLETED	0	2025-07-09 09:41:34.235	24s	10.6s	97.6%	23.9 MB	126.1 MB	159.4 MB	396.3 MB
15	cc/25027a	133712	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (4)	COMPLETED	0	2025-07-09 09:41:34.229	24s	10.8s	96.7%	23.9 MB	126.1 MB	160.2 MB	396.5 MB
17	66/35b935	135519	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (1)	COMPLETED	0	2025-07-09 09:41:40.393	17.9s	5.7s	95.8%	31 MB	132.9 MB	287 MB	247.1 MB
21	78/0a5a84	137094	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (5)	COMPLETED	0	2025-07-09 09:41:59.369	53.3s	6.1s	99.5%	31.5 MB	133.3 MB	327.6 MB	281.9 MB
18	0b/7034c7	136487	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (2)	COMPLETED	0	2025-07-09 09:41:43.893	1m 9s	6s	99.6%	31.4 MB	133.4 MB	324.9 MB	278.1 MB
20	c1/7f414b	137064	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (4)	COMPLETED	0	2025-07-09 09:41:58.833	53.8s	6s	99.4%	31.5 MB	133.4 MB	323.4 MB	276.5 MB
19	65/bf1798	136679	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (3)	COMPLETED	0	2025-07-09 09:41:44.451	1m 8s	6s	99.7%	31.6 MB	133.4 MB	328.2 MB	280.7 MB
22	b5/4347b1	138965	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:CLUSTER (1)	COMPLETED	0	2025-07-09 09:42:52.779	1m 26s	10.6s	947.3%	1.4 GB	4.1 GB	2.7 GB	3.6 GB
23	bf/42e028	139882	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:REFORMAT_FILTER_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 09:44:24.466	20.4s	17s	99.7%	41.5 MB	145.3 MB	374.4 MB	699.5 MB
25	95/2c5b69	143490	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SUMMARY_CLUSTER_STATS (1)	COMPLETED	0	2025-07-09 09:44:45.125	2.6s	1.4s	268.9%	90.9 MB	1.3 GB	28.9 MB	100.7 KB
24	2e/7536eb	143499	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:CLUSTER_STATS (barcode02)	COMPLETED	0	2025-07-09 09:44:45.131	2.6s	1.5s	282.6%	89.6 MB	1.3 GB	30.8 MB	175 KB
26	33/d4be52	143615	UMI_PIPELINE:UMI_POLISHING:GLUE_CLUSTERS (barcode02)	COMPLETED	0	2025-07-09 09:44:45.362	6.4s	3.3s	104.3%	4.4 MB	5.5 MB	342.5 MB	329.6 MB
35	10/e33aa9	149808	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 09:44:52.003	3m 47s	3m 46s	159.3%	2.9 GB	182.2 GB	60.7 MB	36.9 MB
32	38/1e5cc4	150010	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 09:44:52.085	3m 48s	3m 44s	168.9%	3.3 GB	181.3 GB	60.7 MB	37 MB
33	fb/562d13	149913	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 09:44:52.040	3m 48s	3m 46s	172.6%	3.5 GB	179 GB	61 MB	37.1 MB
28	10/06cc72	149815	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 09:44:52.007	3m 51s	3m 50s	160.0%	2.4 GB	181.3 GB	60.8 MB	37 MB
48	d8/bb67ce	149935	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 09:44:52.056	3m 57s	3m 55s	173.1%	3.7 GB	183.7 GB	61.2 MB	37.2 MB
49	1e/3e8779	150043	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 09:44:52.106	4m 1s	3m 59s	169.7%	2.6 GB	181.7 GB	61.1 MB	37.2 MB
34	09/7ab9c9	149959	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 09:44:52.063	4m 2s	3m 59s	175.2%	2.9 GB	181.2 GB	61.3 MB	37.2 MB
55	23/1dab62	149987	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 09:44:52.074	4m 8s	4m 5s	173.6%	2.7 GB	183.7 GB	61.4 MB	37.3 MB
36	e0/65c428	150080	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 09:44:52.116	4m 12s	4m 9s	168.4%	3.6 GB	183.5 GB	61.3 MB	37.3 MB
57	a3/a3b886	150029	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 09:44:52.100	4m 12s	4m 9s	170.4%	2.7 GB	182 GB	61.4 MB	37.3 MB
43	f4/3ac894	149852	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 09:44:52.018	4m 27s	4m 25s	167.2%	3.4 GB	183.2 GB	61.5 MB	37.4 MB
42	ec/c4bbff	150021	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 09:44:52.092	4m 31s	4m 27s	173.8%	3.4 GB	183.3 GB	61.8 MB	37.5 MB
46	89/6470c8	149831	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 09:44:52.012	4m 31s	4m 29s	173.9%	2.8 GB	182.1 GB	61.8 MB	37.5 MB
30	8d/35d7d0	150114	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 09:44:52.123	4m 32s	4m 28s	163.5%	3.5 GB	181.7 GB	61.4 MB	37.3 MB
38	30/2b3853	150138	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 09:44:52.128	4m 34s	4m 30s	172.0%	3.9 GB	183.9 GB	61.7 MB	37.5 MB
58	d8/79b43e	149923	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 09:44:52.050	5m 29s	5m 26s	163.2%	2.8 GB	183.9 GB	62.4 MB	37.8 MB
44	2a/843011	251936	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 09:48:39.919	3m 21s	3m 19s	155.6%	2.6 GB	183.4 GB	60.5 MB	36.8 MB
47	66/281736	251310	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 09:48:39.207	3m 36s	3m 34s	165.9%	2.6 GB	183.5 GB	61 MB	37.1 MB
45	bf/bf5c96	252146	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 09:48:40.065	3m 44s	3m 42s	172.8%	3.8 GB	183.9 GB	61.3 MB	37.3 MB
