task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	27/99aa34	4158144	UMI_PIPELINE:PARSE_BED (1)	COMPLETED	0	2025-07-14 13:55:13.901	971ms	3ms	103.2%	0	0	57.6 KB	244 B
5	2d/5a2c63	4158260	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (4)	COMPLETED	0	2025-07-14 13:55:13.947	17.8s	15.4s	98.7%	24.7 MB	126.6 MB	420.4 MB	353.7 MB
4	56/8ab4c7	4158160	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (3)	COMPLETED	0	2025-07-14 13:55:13.911	18s	17.1s	99.7%	24.7 MB	126.6 MB	469.5 MB	395.7 MB
1	ab/c35ad8	4158176	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (1)	COMPLETED	0	2025-07-14 13:55:13.918	18.5s	17.1s	99.6%	24.9 MB	126.6 MB	469.9 MB	396.2 MB
6	6a/94e57e	4158205	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (5)	COMPLETED	0	2025-07-14 13:55:13.925	18.6s	17.3s	99.7%	24.8 MB	126.6 MB	470.4 MB	398.2 MB
3	ce/7c9325	4158233	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (2)	COMPLETED	0	2025-07-14 13:55:13.933	18.7s	17.1s	99.7%	24.8 MB	126.6 MB	470.3 MB	395.9 MB
7	2b/8a3068	4162417	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (1)	COMPLETED	0	2025-07-14 13:55:32.745	8.2s	7.4s	1015.6%	890.1 MB	26.6 GB	867.9 MB	514.1 MB
8	00/82b444	4162675	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (2)	COMPLETED	0	2025-07-14 13:55:33.866	12.1s	9.9s	840.0%	974.7 MB	26.8 GB	970.8 MB	575 MB
9	78/4243fc	4162949	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (3)	COMPLETED	0	2025-07-14 13:55:35.650	11.5s	10.6s	792.5%	989.1 MB	26.8 GB	971.7 MB	575.4 MB
10	44/96d0f7	4163428	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (4)	COMPLETED	0	2025-07-14 13:55:37.146	11.2s	9.2s	924.8%	849.2 MB	26.8 GB	976.6 MB	578.3 MB
11	32/91247d	4163855	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (5)	COMPLETED	0	2025-07-14 13:55:38.814	10.3s	8.5s	989.1%	921.6 MB	26.7 GB	971.7 MB	575.7 MB
12	4e/b42685	4164718	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (1)	COMPLETED	0	2025-07-14 13:55:41.086	13.6s	11.2s	98.5%	23.8 MB	126.1 MB	142.3 MB	354.4 MB
13	dd/f4b7fd	4166244	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (2)	COMPLETED	0	2025-07-14 13:55:45.986	12s	10.7s	100.0%	24 MB	126.1 MB	159.5 MB	396.2 MB
14	97/5a2bb6	4166742	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (3)	COMPLETED	0	2025-07-14 13:55:47.153	11.6s	10.6s	100.1%	23.8 MB	126.1 MB	159.4 MB	396.3 MB
15	74/ecbb23	4167362	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (4)	COMPLETED	0	2025-07-14 13:55:48.366	11.4s	10.5s	100.0%	24.2 MB	126.1 MB	160 MB	398.8 MB
16	76/b4e765	4167822	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (5)	COMPLETED	0	2025-07-14 13:55:49.140	11.5s	10.5s	100.2%	23.8 MB	126.1 MB	160.2 MB	396.5 MB
18	41/ee74f2	4170512	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (2)	COMPLETED	0	2025-07-14 13:55:58.590	9.4s	6.1s	99.4%	31.7 MB	133.3 MB	324.9 MB	278.1 MB
19	74/5c6631	4170846	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (3)	COMPLETED	0	2025-07-14 13:55:59.334	8.6s	6s	99.4%	31.4 MB	133.4 MB	323.4 MB	276.5 MB
17	81/df71df	4169562	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (1)	COMPLETED	0	2025-07-14 13:55:55.193	12.8s	5.4s	100.2%	31.6 MB	133.3 MB	287 MB	247.1 MB
20	d8/5dcd9d	4171258	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (4)	COMPLETED	0	2025-07-14 13:56:00.269	7.7s	6s	99.5%	31.8 MB	133.4 MB	328.2 MB	280.7 MB
21	76/bac403	4171593	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (5)	COMPLETED	0	2025-07-14 13:56:01.167	43.2s	5.9s	99.9%	31.7 MB	133.7 MB	327.6 MB	281.9 MB
22	95/7c6f3f	4172906	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:CLUSTER (1)	COMPLETED	0	2025-07-14 13:56:44.421	12.8s	10.5s	951.7%	1.4 GB	3.7 GB	2.7 GB	3.6 GB
23	06/62cf14	4173848	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:REFORMAT_FILTER_CLUSTER (barcode02)	COMPLETED	0	2025-07-14 13:57:03.391	40.9s	17.6s	98.9%	41.5 MB	145.3 MB	374.4 MB	693.1 MB
25	09/b832f4	4177460	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:CLUSTER_STATS (barcode02)	COMPLETED	0	2025-07-14 13:57:44.582	2.6s	1.5s	267.1%	91.1 MB	1.3 GB	30.8 MB	175 KB
24	aa/74be55	4177453	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SUMMARY_CLUSTER_STATS (1)	COMPLETED	0	2025-07-14 13:57:44.578	2.6s	1.4s	287.0%	89.8 MB	1.3 GB	28.9 MB	100.7 KB
26	11/342939	4177559	UMI_PIPELINE:UMI_POLISHING:GLUE_CLUSTERS (barcode02)	COMPLETED	0	2025-07-14 13:57:44.807	6.4s	3.3s	104.1%	4.4 MB	5.5 MB	336.1 MB	323.2 MB
37	d9/cec46c	4183788	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (11)	COMPLETED	0	2025-07-14 13:57:51.397	1.8s	903ms	107.0%	6.5 MB	8.5 MB	16.7 MB	10.7 MB
33	45/3f95b1	4183803	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (7)	COMPLETED	0	2025-07-14 13:57:51.401	2s	961ms	103.8%	6.3 MB	8.5 MB	17.3 MB	11.1 MB
27	40/004a4c	4183761	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (1)	COMPLETED	0	2025-07-14 13:57:51.386	2.8s	902ms	106.3%	6.2 MB	8.5 MB	16.1 MB	10.3 MB
38	50/16fb55	4184047	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (12)	COMPLETED	0	2025-07-14 13:57:51.452	2.9s	868ms	106.7%	6.4 MB	8.5 MB	15.9 MB	10.2 MB
36	bb/be862a	4183880	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (10)	COMPLETED	0	2025-07-14 13:57:51.414	3.1s	928ms	107.7%	6.2 MB	8.5 MB	15.7 MB	10.1 MB
47	34/022673	4183769	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (21)	COMPLETED	0	2025-07-14 13:57:51.391	3.2s	972ms	106.9%	6.4 MB	8.5 MB	16.4 MB	10.5 MB
34	96/65cc39	4183929	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (8)	COMPLETED	0	2025-07-14 13:57:51.427	3.3s	916ms	106.1%	6.3 MB	8.5 MB	16 MB	10.3 MB
35	4e/39928f	4183903	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (9)	COMPLETED	0	2025-07-14 13:57:51.420	3.4s	899ms	108.1%	6.3 MB	8.5 MB	16 MB	10.2 MB
42	04/9ad506	4184016	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (16)	COMPLETED	0	2025-07-14 13:57:51.446	3.4s	910ms	106.7%	6.5 MB	8.5 MB	16.1 MB	10.3 MB
32	6a/b58ed0	4183844	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (6)	COMPLETED	0	2025-07-14 13:57:51.407	3.6s	931ms	106.3%	6.1 MB	8.5 MB	16.3 MB	10.5 MB
30	fd/320038	4183981	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (4)	COMPLETED	0	2025-07-14 13:57:51.440	3.7s	932ms	108.1%	6.4 MB	8.5 MB	17.7 MB	11.4 MB
29	fc/a17276	4183963	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (3)	COMPLETED	0	2025-07-14 13:57:51.436	4.5s	949ms	105.1%	6.3 MB	8.5 MB	17.5 MB	11.2 MB
31	b4/660b5e	4183947	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (5)	COMPLETED	0	2025-07-14 13:57:51.432	4.9s	897ms	106.4%	6.4 MB	8.5 MB	17.4 MB	11.1 MB
43	a9/d4f51b	4184093	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (17)	COMPLETED	0	2025-07-14 13:57:51.461	6s	882ms	105.2%	6.4 MB	8.5 MB	16.8 MB	10.8 MB
49	5f/493a4b	4184143	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (23)	COMPLETED	0	2025-07-14 13:57:51.473	6.1s	987ms	106.2%	6.3 MB	8.5 MB	18.9 MB	12.1 MB
51	a6/d3ea7b	4184161	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (25)	COMPLETED	0	2025-07-14 13:57:51.479	6.3s	910ms	106.9%	6.3 MB	8.5 MB	17.3 MB	11.1 MB
54	dd/e3aa39	4184187	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (28)	COMPLETED	0	2025-07-14 13:57:51.491	6.4s	965ms	106.9%	6.1 MB	8.5 MB	17.9 MB	11.5 MB
48	aa/b0ad96	4184122	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (22)	COMPLETED	0	2025-07-14 13:57:51.468	6.7s	990ms	107.4%	6.3 MB	8.5 MB	18.9 MB	12.1 MB
44	33/f1c55a	4184224	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (18)	COMPLETED	0	2025-07-14 13:57:51.499	6.9s	826ms	106.9%	6.4 MB	8.5 MB	15.9 MB	10.2 MB
45	ac/b302f6	4184167	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (19)	COMPLETED	0	2025-07-14 13:57:51.485	7.1s	914ms	104.7%	6.5 MB	8.5 MB	17.1 MB	10.9 MB
53	fe/6f8ba6	4184254	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (27)	COMPLETED	0	2025-07-14 13:57:51.504	7.2s	925ms	107.6%	6.2 MB	8.5 MB	17.8 MB	11.4 MB
46	d5/e3b87a	4184291	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (20)	COMPLETED	0	2025-07-14 13:57:51.510	7.9s	858ms	106.5%	6.4 MB	8.5 MB	15.8 MB	10.1 MB
41	7d/77429b	4184338	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (15)	COMPLETED	0	2025-07-14 13:57:51.520	8s	898ms	106.5%	6.4 MB	8.5 MB	16.6 MB	10.6 MB
61	ee/308d7c	4184591	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (35)	COMPLETED	0	2025-07-14 13:57:51.572	8s	979ms	107.8%	6.2 MB	8.5 MB	18.5 MB	11.9 MB
55	c8/379a1d	4184375	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (29)	COMPLETED	0	2025-07-14 13:57:51.527	8.6s	988ms	107.9%	6.2 MB	8.5 MB	18.7 MB	12 MB
58	cb/883e72	4184426	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (32)	COMPLETED	0	2025-07-14 13:57:51.538	9.2s	986ms	105.2%	6.3 MB	8.5 MB	18.8 MB	12.1 MB
52	44/a1e927	4184405	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (26)	COMPLETED	0	2025-07-14 13:57:51.533	9.6s	861ms	107.7%	6.3 MB	8.5 MB	16.8 MB	10.7 MB
50	6b/d62ab7	4184463	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (24)	COMPLETED	0	2025-07-14 13:57:51.545	9.7s	913ms	108.3%	6.4 MB	8.5 MB	17.8 MB	11.4 MB
57	22/e8fd06	4184524	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (31)	COMPLETED	0	2025-07-14 13:57:51.558	10.9s	944ms	108.1%	6.4 MB	8.5 MB	18.2 MB	11.7 MB
59	13/bc4a00	4184552	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (33)	COMPLETED	0	2025-07-14 13:57:51.563	11s	1s	106.9%	6.2 MB	8.5 MB	19.5 MB	12.5 MB
56	57/583479	4184497	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (30)	COMPLETED	0	2025-07-14 13:57:51.552	11.3s	912ms	105.8%	6.4 MB	8.5 MB	17.1 MB	10.9 MB
