task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	b9/a70dcc	2029427	UMI_PIPELINE:PARSE_BED (1)	COMPLETED	0	2025-07-14 10:51:29.122	1.1s	3ms	114.3%	0	0	57.6 KB	244 B
5	37/20f1a9	2029443	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (4)	COMPLETED	0	2025-07-14 10:51:29.132	17.1s	15.3s	99.1%	24.4 MB	126.6 MB	420.4 MB	353.7 MB
3	f3/0910b7	2029458	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (2)	COMPLETED	0	2025-07-14 10:51:29.138	18.4s	16.9s	100.1%	24.5 MB	126.6 MB	470.3 MB	395.9 MB
4	fa/02259a	2029532	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (3)	COMPLETED	0	2025-07-14 10:51:29.160	18.5s	17s	100.0%	24.5 MB	126.3 MB	469.5 MB	395.7 MB
1	c9/d27fb7	2029506	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (1)	COMPLETED	0	2025-07-14 10:51:29.151	18.6s	17s	100.1%	24.8 MB	126.6 MB	469.9 MB	396.2 MB
6	c6/3fdc4a	2029487	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (5)	COMPLETED	0	2025-07-14 10:51:29.145	18.7s	17s	100.1%	24.6 MB	126.6 MB	470.4 MB	398.2 MB
7	8d/6746d8	2033568	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (1)	COMPLETED	0	2025-07-14 10:51:47.276	8.9s	7.3s	1014.0%	876.4 MB	26.8 GB	867.9 MB	514.1 MB
8	3c/794fa3	2033908	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (2)	COMPLETED	0	2025-07-14 10:51:48.766	12.7s	10.3s	802.6%	868.9 MB	26.7 GB	971.7 MB	575.7 MB
9	9e/5b99e3	2034153	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (3)	COMPLETED	0	2025-07-14 10:51:50.554	11.7s	10.6s	794.7%	912.6 MB	26.8 GB	970.8 MB	575 MB
10	bf/3cc895	2034655	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (4)	COMPLETED	0	2025-07-14 10:51:52.030	11.5s	9.6s	882.0%	909.1 MB	26.9 GB	971.7 MB	575.4 MB
11	99/ace69f	2035187	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (5)	COMPLETED	0	2025-07-14 10:51:53.744	10.3s	8.2s	1026.1%	831.7 MB	26.8 GB	976.6 MB	578.3 MB
12	4a/c7a75b	2035943	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (1)	COMPLETED	0	2025-07-14 10:51:56.300	13.7s	11s	98.4%	23.7 MB	126.1 MB	142.3 MB	354.4 MB
13	52/6b21ab	2037563	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (2)	COMPLETED	0	2025-07-14 10:52:01.438	11.8s	10.8s	100.1%	23.8 MB	126.1 MB	160.2 MB	396.5 MB
14	e5/f4f6de	2037992	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (3)	COMPLETED	0	2025-07-14 10:52:02.233	11.8s	10.7s	100.1%	23.8 MB	126.1 MB	159.5 MB	396.2 MB
15	ef/8b639e	2038619	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (4)	COMPLETED	0	2025-07-14 10:52:03.529	11.5s	10.4s	100.0%	23.7 MB	126.1 MB	159.4 MB	396.3 MB
16	21/638084	2039031	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (5)	COMPLETED	0	2025-07-14 10:52:04.098	11.7s	10.6s	100.1%	23.8 MB	126.1 MB	160 MB	398.8 MB
17	c2/b313ce	2040723	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (1)	COMPLETED	0	2025-07-14 10:52:10.557	6.4s	5.5s	99.9%	31.5 MB	133.3 MB	287 MB	247.1 MB
18	39/fd609e	2041722	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (2)	COMPLETED	0	2025-07-14 10:52:13.850	7.5s	6.1s	100.1%	31.4 MB	133.3 MB	327.6 MB	281.9 MB
19	be/5878ea	2042039	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (3)	COMPLETED	0	2025-07-14 10:52:14.627	7.3s	6.1s	100.3%	31.5 MB	133.3 MB	324.9 MB	278.1 MB
20	b2/6215dc	2042408	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (4)	COMPLETED	0	2025-07-14 10:52:15.581	7s	6.1s	100.2%	31.3 MB	133.3 MB	323.4 MB	276.5 MB
21	05/d15724	2042698	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (5)	COMPLETED	0	2025-07-14 10:52:16.389	7.3s	6.1s	100.3%	31.4 MB	133.3 MB	328.2 MB	280.7 MB
22	b3/e249b2	2044050	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:CLUSTER (1)	COMPLETED	0	2025-07-14 10:52:23.714	14.7s	10.4s	963.0%	1.4 GB	4.2 GB	2.7 GB	3.6 GB
23	e5/496e7e	2045821	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:REFORMAT_FILTER_CLUSTER (barcode02)	COMPLETED	0	2025-07-14 10:52:44.428	21.3s	17.5s	100.0%	41.6 MB	145.3 MB	374.4 MB	699.5 MB
25	31/344bf5	2049476	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SUMMARY_CLUSTER_STATS (1)	COMPLETED	0	2025-07-14 10:53:05.986	2.3s	1s	393.3%	10.9 MB	14.5 MB	28.9 MB	100.7 KB
24	91/18f799	2049484	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:CLUSTER_STATS (barcode02)	COMPLETED	0	2025-07-14 10:53:05.991	2.3s	1.2s	392.4%	108.1 MB	1.5 GB	30.8 MB	175 KB
26	74/00f257	2049619	UMI_PIPELINE:UMI_POLISHING:GLUE_CLUSTERS (barcode02)	COMPLETED	0	2025-07-14 10:53:06.273	6.5s	3.3s	103.8%	4.3 MB	5.5 MB	342.5 MB	329.6 MB
40	38/257116	2055766	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (14)	COMPLETED	0	2025-07-14 10:53:12.982	1.6s	214ms	104.8%	6.4 MB	8.5 MB	3.8 MB	2.4 MB
41	58/9db08e	2055753	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (15)	COMPLETED	0	2025-07-14 10:53:12.977	1.7s	202ms	105.4%	6.4 MB	8.5 MB	3.6 MB	2.3 MB
29	e5/9adb19	2055794	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (3)	COMPLETED	0	2025-07-14 10:53:12.988	1.8s	216ms	103.4%	6.2 MB	8.5 MB	3.7 MB	2.3 MB
33	aa/b5f02c	2055745	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (7)	COMPLETED	0	2025-07-14 10:53:12.972	2s	195ms	112.8%	6.3 MB	8.5 MB	3.3 MB	2.1 MB
37	25/774f16	2055837	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (11)	COMPLETED	0	2025-07-14 10:53:12.999	2.3s	219ms	112.2%	6.4 MB	8.5 MB	3.8 MB	2.4 MB
44	4a/31c4d2	2055879	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (18)	COMPLETED	0	2025-07-14 10:53:13.012	2.5s	159ms	110.8%	6.3 MB	8.5 MB	2.6 MB	1.7 MB
34	eb/c6fbb1	2055903	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (8)	COMPLETED	0	2025-07-14 10:53:13.019	2.5s	214ms	110.7%	6.4 MB	8.5 MB	3.7 MB	2.3 MB
39	df/b9ea91	2055862	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (13)	COMPLETED	0	2025-07-14 10:53:13.007	2.9s	267ms	106.9%	6.3 MB	8.5 MB	4.5 MB	2.9 MB
38	34/cccd47	2055926	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (12)	COMPLETED	0	2025-07-14 10:53:13.025	3.5s	250ms	98.6%	6.3 MB	8.5 MB	4.1 MB	2.6 MB
28	2d/b8a78e	2056069	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (2)	COMPLETED	0	2025-07-14 10:53:13.075	3.9s	177ms	111.5%	6.4 MB	8.5 MB	3 MB	1.9 MB
27	9d/23301b	2055953	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (1)	COMPLETED	0	2025-07-14 10:53:13.033	4.2s	256ms	109.3%	6.2 MB	8.5 MB	4.4 MB	2.8 MB
31	fb/7ac415	2055989	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (5)	COMPLETED	0	2025-07-14 10:53:13.044	4.4s	203ms	108.5%	6.3 MB	8.5 MB	3.5 MB	2.2 MB
