start	polishing	mode	cluster_per_polishing_file	max_reads_per_cluster	process_order	end	duration
2025-07-13T16:12:15Z	POA-based	CPU	10	20	NA	2025-07-13T17:20:40Z	4104.70399999619
2025-07-13T19:40:28Z	POA-based	CPU	20	20	NA	2025-07-13T20:49:21Z	4133.1890001297
2025-07-13T23:11:18Z	POA-based	CPU	50	20	NA	2025-07-14T03:03:03Z	13904.8069996834
2025-07-13T17:20:54Z	POA-based	CPU	10	30	NA	2025-07-13T18:30:47Z	4193.40799999237
2025-07-13T20:49:34Z	POA-based	CPU	20	30	NA	2025-07-13T22:00:28Z	4253.62000012398
2025-07-14T03:03:16Z	POA-based	CPU	50	30	NA	2025-07-14T06:53:33Z	13817.2539999485
2025-07-13T18:31:01Z	POA-based	CPU	10	50	NA	2025-07-13T19:40:14Z	4153.69400000572
2025-07-13T22:00:41Z	POA-based	CPU	20	50	NA	2025-07-13T23:11:05Z	4223.38800001144
2025-07-14T06:53:47Z	POA-based	CPU	50	50	NA	2025-07-14T10:43:19Z	13772.0089998245
2025-07-15T14:57:25Z	POA-based	GPU	10	20	NA	2025-07-15T16:07:30Z	4205.32700014114
2025-07-09T12:05:31Z	POA-based	GPU	20	20	NA	2025-07-09T13:13:07Z	4055.92700004578
2025-07-09T15:32:27Z	POA-based	GPU	50	20	NA	2025-07-09T16:39:25Z	4018.50499987602
2025-07-09T09:40:58Z	POA-based	GPU	10	30	NA	2025-07-09T10:53:25Z	4346.9470000267
2025-07-09T13:13:21Z	POA-based	GPU	20	30	NA	2025-07-09T14:22:42Z	4161.01000022888
2025-07-09T16:39:38Z	POA-based	GPU	50	30	NA	2025-07-09T17:49:02Z	4163.72800016403
2025-07-09T10:53:39Z	POA-based	GPU	10	50	NA	2025-07-09T12:05:18Z	4298.7650001049
2025-07-09T14:22:55Z	POA-based	GPU	20	50	NA	2025-07-09T15:32:13Z	4158.41599988937
2025-07-09T17:49:15Z	POA-based	GPU	50	50	NA	2025-07-09T18:58:12Z	4136.55099987984
2025-07-14T12:34:43Z	Reference-based	CPU	10	20	NA	2025-07-14T12:49:10Z	867.361000061035
2025-07-14T13:18:47Z	Reference-based	CPU	20	20	NA	2025-07-14T13:30:40Z	712.661000013351
2025-07-14T13:55:13Z	Reference-based	CPU	50	20	NA	2025-07-14T14:05:53Z	639.263999938965
2025-07-14T12:49:25Z	Reference-based	CPU	10	30	NA	2025-07-14T13:03:33Z	848.916000127792
2025-07-14T13:30:54Z	Reference-based	CPU	20	30	NA	2025-07-14T13:42:43Z	709.276000022888
2025-07-14T14:06:06Z	Reference-based	CPU	50	30	NA	2025-07-14T14:16:49Z	643.161000013351
2025-07-14T13:03:48Z	Reference-based	CPU	10	50	NA	2025-07-14T13:18:33Z	885.157999992371
2025-07-14T13:42:57Z	Reference-based	CPU	20	50	NA	2025-07-14T13:55:00Z	722.683000087738
2025-07-14T14:17:03Z	Reference-based	CPU	50	50	NA	2025-07-14T14:27:03Z	600.098999977112
2025-07-15T14:47:34Z	Reference-based	GPU	10	20	NA	2025-07-15T14:57:11Z	576.588999986649
2025-07-14T11:38:59Z	Reference-based	GPU	20	20	NA	2025-07-14T11:43:53Z	293.490999937057
2025-07-14T12:16:43Z	Reference-based	GPU	50	20	NA	2025-07-14T12:20:06Z	202.964999914169
2025-07-14T10:51:29Z	Reference-based	GPU	10	30	NA	2025-07-14T10:59:07Z	458.813999891281
2025-07-14T11:44:06Z	Reference-based	GPU	20	30	NA	2025-07-14T11:49:31Z	325.082000017166
2025-07-14T12:20:19Z	Reference-based	GPU	50	30	NA	2025-07-14T12:24:08Z	228.497000217438
2025-07-14T10:59:22Z	Reference-based	GPU	10	50	NA	2025-07-14T11:07:00Z	458.408999919891
2025-07-14T11:49:45Z	Reference-based	GPU	20	50	NA	2025-07-14T11:54:51Z	305.486999988556
2025-07-14T12:24:21Z	Reference-based	GPU	50	50	NA	2025-07-14T12:27:57Z	215.6890001297
