task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	b5/88b08d	721355	UMI_PIPELINE:PARSE_BED (1)	COMPLETED	0	2025-07-09 14:22:55.355	1.1s	2ms	123.1%	0	0	57.3 KB	236 B
5	fa/5b735e	721371	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (4)	COMPLETED	0	2025-07-09 14:22:55.364	17.2s	15.3s	98.2%	24.5 MB	126.6 MB	420.4 MB	353.7 MB
3	bd/4d0627	721387	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (2)	COMPLETED	0	2025-07-09 14:22:55.370	18.6s	17s	99.2%	24.8 MB	126.6 MB	470.3 MB	395.9 MB
2	a9/27e06f	721432	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (1)	COMPLETED	0	2025-07-09 14:22:55.381	18.7s	17.2s	98.5%	24.6 MB	126.6 MB	469.9 MB	396.2 MB
6	8c/d4e269	721408	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (5)	COMPLETED	0	2025-07-09 14:22:55.376	18.9s	17.2s	99.0%	24.7 MB	126.6 MB	470.4 MB	398.2 MB
4	cc/f8bc07	721457	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (3)	COMPLETED	0	2025-07-09 14:22:55.389	19s	17.4s	99.1%	24.5 MB	126.6 MB	469.5 MB	395.7 MB
7	d9/2d917a	725494	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (1)	COMPLETED	0	2025-07-09 14:23:13.625	31.5s	20.5s	366.1%	904.2 MB	26.6 GB	867.9 MB	514.1 MB
8	86/1ae144	725886	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (2)	COMPLETED	0	2025-07-09 14:23:14.995	38.9s	29.6s	283.3%	936.1 MB	26.8 GB	971.7 MB	575.7 MB
9	01/93bf06	726043	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (3)	COMPLETED	0	2025-07-09 14:23:16.798	37.3s	29s	289.5%	1 GB	26.8 GB	971.7 MB	575.4 MB
10	f6/bd1749	726567	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (4)	COMPLETED	0	2025-07-09 14:23:18.122	44.6s	28.8s	293.0%	952.2 MB	26.8 GB	976.6 MB	578.3 MB
11	ba/02aa09	727024	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (5)	COMPLETED	0	2025-07-09 14:23:19.874	42.9s	21.4s	384.7%	787.7 MB	26.7 GB	970.8 MB	575 MB
12	29/938e3b	731230	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (1)	COMPLETED	0	2025-07-09 14:23:45.198	26s	10.7s	82.0%	23.6 MB	126.1 MB	142.3 MB	354.4 MB
16	d6/071b1d	732391	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (5)	COMPLETED	0	2025-07-09 14:24:02.802	59.1s	10.3s	98.3%	23.7 MB	126.1 MB	159.5 MB	396.2 MB
13	31/2cc288	731691	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (2)	COMPLETED	0	2025-07-09 14:23:53.886	1m 8s	10.8s	94.1%	23.6 MB	126.1 MB	160.2 MB	396.5 MB
