task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	39/841b39	3556777	UMI_PIPELINE:PARSE_BED (1)	COMPLETED	0	2025-07-14 13:30:54.348	1.1s	3ms	94.1%	0	0	57.6 KB	243 B
5	6a/a468f4	3556837	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (4)	COMPLETED	0	2025-07-14 13:30:54.372	17.9s	15.5s	98.5%	24.6 MB	126.6 MB	420.4 MB	353.7 MB
1	b6/b7decb	3556793	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (1)	COMPLETED	0	2025-07-14 13:30:54.357	18.3s	17.3s	99.6%	24.7 MB	126.6 MB	469.9 MB	396.2 MB
6	ee/c0ce20	3556876	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (5)	COMPLETED	0	2025-07-14 13:30:54.385	18.6s	17.4s	99.6%	24.8 MB	126.6 MB	470.4 MB	398.2 MB
3	07/e42812	3556822	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (2)	COMPLETED	0	2025-07-14 13:30:54.365	18.8s	17.2s	99.5%	24.7 MB	126.6 MB	470.3 MB	395.9 MB
4	4a/774f66	3556857	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (3)	COMPLETED	0	2025-07-14 13:30:54.378	18.9s	17.3s	99.8%	24.7 MB	126.6 MB	469.5 MB	395.7 MB
7	4b/8be453	3561016	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (1)	COMPLETED	0	2025-07-14 13:31:13.369	8.6s	7.5s	991.3%	894.9 MB	26.6 GB	867.9 MB	514.1 MB
8	7e/99ab6d	3561276	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (2)	COMPLETED	0	2025-07-14 13:31:14.466	12.4s	10.2s	818.9%	990 MB	26.8 GB	971.7 MB	575.4 MB
9	57/10dac3	3561540	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (3)	COMPLETED	0	2025-07-14 13:31:16.238	11.7s	10.6s	800.0%	878.9 MB	26.7 GB	976.6 MB	578.3 MB
10	d6/966426	3562007	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (4)	COMPLETED	0	2025-07-14 13:31:17.655	11.7s	9.6s	880.6%	893.3 MB	26.7 GB	971.7 MB	575.7 MB
