task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	2a/3f4a49	1319934	UMI_PIPELINE:PARSE_BED (1)	COMPLETED	0	2025-07-14 12:16:43.335	1.4s	3ms	110.3%	0	0	57.6 KB	244 B
5	88/946603	1319950	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (4)	COMPLETED	0	2025-07-14 12:16:43.344	17.4s	15.5s	98.4%	24.5 MB	126.6 MB	420.4 MB	353.7 MB
3	3a/c97ce7	1319997	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (2)	COMPLETED	0	2025-07-14 12:16:43.359	18.3s	17s	100.0%	24.8 MB	126.6 MB	470.3 MB	395.9 MB
6	3d/bd6b58	1319970	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (5)	COMPLETED	0	2025-07-14 12:16:43.351	18.3s	17.2s	99.9%	24.7 MB	126.6 MB	470.4 MB	398.2 MB
4	4c/80a91b	1320025	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (3)	COMPLETED	0	2025-07-14 12:16:43.367	18.5s	17.1s	99.8%	24.4 MB	126.6 MB	469.5 MB	395.7 MB
2	76/037af8	1320043	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (1)	COMPLETED	0	2025-07-14 12:16:43.376	19.2s	17.6s	99.8%	24.9 MB	126.6 MB	469.9 MB	396.2 MB
7	2e/adbfcd	1324138	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (1)	COMPLETED	0	2025-07-14 12:17:01.833	8.5s	7.5s	995.2%	862.5 MB	26.8 GB	867.9 MB	514.1 MB
8	25/196f39	1324441	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (2)	COMPLETED	0	2025-07-14 12:17:02.982	12s	9.6s	861.5%	948.8 MB	26.8 GB	971.7 MB	575.7 MB
9	93/b9949b	1324692	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (3)	COMPLETED	0	2025-07-14 12:17:04.718	11.6s	10.6s	805.8%	850.2 MB	26.9 GB	976.6 MB	578.3 MB
10	15/9a74d6	1325203	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (4)	COMPLETED	0	2025-07-14 12:17:06.118	11.1s	9.4s	889.9%	915.9 MB	26.7 GB	970.8 MB	575 MB
11	58/41ba9b	1325755	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (5)	COMPLETED	0	2025-07-14 12:17:07.918	10.2s	8.2s	1026.3%	885 MB	26.9 GB	971.7 MB	575.4 MB
12	74/9d821e	1326480	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (1)	COMPLETED	0	2025-07-14 12:17:10.510	13.6s	11.1s	97.8%	23.6 MB	126.1 MB	142.3 MB	354.4 MB
13	63/9a09a6	1327886	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (2)	COMPLETED	0	2025-07-14 12:17:15.109	12.1s	10.8s	99.8%	23.8 MB	126.1 MB	160.2 MB	396.5 MB
14	49/b0c4c2	1328604	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (3)	COMPLETED	0	2025-07-14 12:17:16.356	11.7s	10.7s	99.9%	23.7 MB	126.1 MB	160 MB	398.8 MB
15	ea/35a03a	1329075	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (4)	COMPLETED	0	2025-07-14 12:17:17.282	11.6s	10.6s	100.0%	23.8 MB	126.1 MB	159.5 MB	396.2 MB
16	a6/02cb9e	1329540	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (5)	COMPLETED	0	2025-07-14 12:17:18.151	11.5s	10.5s	100.1%	24 MB	126.1 MB	159.4 MB	396.3 MB
17	c4/974934	1331283	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (1)	COMPLETED	0	2025-07-14 12:17:24.708	6.4s	5.4s	100.0%	31.5 MB	133.3 MB	287 MB	247.1 MB
18	ea/7aa325	1332234	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (2)	COMPLETED	0	2025-07-14 12:17:27.737	7.7s	6.2s	100.1%	31.2 MB	133.2 MB	327.6 MB	281.9 MB
19	db/466b9a	1332607	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (3)	COMPLETED	0	2025-07-14 12:17:28.641	7s	6.1s	100.2%	31.6 MB	133.3 MB	328.2 MB	280.7 MB
