cluster_id	cluster_written	reads_found	reads_found_fwd	reads_found_rev	reads_written_fwd	reads_written_rev	reads_skipped_fwd	reads_skipped_rev
1006_sub0	1	6	6	0	6	0	0	0
1010_sub0	1	7	7	0	7	0	0	0
1056_sub0	1	6	6	0	6	0	0	0
1063_sub0	1	8	8	0	8	0	0	0
1066_sub0	1	6	6	0	6	0	0	0
1072_sub0	1	8	8	0	8	0	0	0
1080_sub0	1	89	0	89	0	20	0	69
1117_sub0	1	9	9	0	9	0	0	0
112_sub0	1	9	9	0	9	0	0	0
1129_sub0	1	9	9	0	9	0	0	0
1161_sub0	1	7	7	0	7	0	0	0
1163_sub0	1	6	6	0	6	0	0	0
1164_sub0	1	6	6	0	6	0	0	0
117_sub0	1	10	10	0	10	0	0	0
1179_sub0	1	6	6	0	6	0	0	0
118_sub0	1	8	8	0	8	0	0	0
1242_sub0	1	8	8	0	8	0	0	0
1322_sub0	1	9	9	0	9	0	0	0
133_sub0	1	100	0	100	0	20	0	80
1341_sub0	1	6	6	0	6	0	0	0
1354_sub0	1	6	6	0	6	0	0	0
1372_sub0	1	7	7	0	7	0	0	0
1408_sub0	1	6	6	0	6	0	0	0
142_sub0	1	9	9	0	9	0	0	0
1443_sub0	1	6	6	0	6	0	0	0
146_sub0	1	9	9	0	9	0	0	0
1469_sub0	1	6	6	0	6	0	0	0
1562_sub0	1	7	7	0	7	0	0	0
158_sub0	1	10	10	0	10	0	0	0
174_sub0	1	119	0	119	0	20	0	99
175_sub0	1	6	6	0	6	0	0	0
182_sub0	1	8	8	0	8	0	0	0
189_sub0	1	13	13	0	13	0	0	0
206_sub0	1	12	12	0	12	0	0	0
2077_sub0	1	71	0	71	0	20	0	51
217_sub0	1	7	7	0	7	0	0	0
247_sub0	1	10	10	0	10	0	0	0
252_sub0	1	9	9	0	9	0	0	0
2623_sub0	1	52	0	52	0	20	0	32
2626_sub0	1	68	0	68	0	20	0	48
2642_sub0	1	7	7	0	7	0	0	0
28_sub0	1	10	0	10	0	10	0	0
2805_sub0	1	9	0	9	0	9	0	0
2813_sub0	1	11	0	11	0	11	0	0
2843_sub0	1	7	0	7	0	7	0	0
2856_sub0	1	7	0	7	0	7	0	0
291_sub0	1	6	6	0	6	0	0	0
294_sub0	1	6	6	0	6	0	0	0
2973_sub0	1	9	9	0	9	0	0	0
302_sub0	1	7	7	0	7	0	0	0
305_sub0	1	9	9	0	9	0	0	0
311_sub0	1	7	7	0	7	0	0	0
3122_sub1	1	7	0	7	0	7	0	0
325_sub0	1	6	6	0	6	0	0	0
3324_sub0	1	37	0	37	0	20	0	17
367_sub0	1	7	7	0	7	0	0	0
381_sub0	1	8	8	0	8	0	0	0
3860_sub0	1	12	0	12	0	12	0	0
3875_sub0	1	14	0	14	0	14	0	0
3884_sub0	1	8	0	8	0	8	0	0
3932_sub0	1	29	0	29	0	20	0	9
3933_sub0	1	7	0	7	0	7	0	0
3956_sub0	1	8	0	8	0	8	0	0
397_sub0	1	7	7	0	7	0	0	0
3984_sub0	1	11	0	11	0	11	0	0
4034_sub0	1	8	0	8	0	8	0	0
4045_sub0	1	12	0	12	0	12	0	0
4053_sub0	1	213	0	213	0	20	0	193
4109_sub0	1	9	0	9	0	9	0	0
411_sub0	1	10	10	0	10	0	0	0
4156_sub0	1	7	0	7	0	7	0	0
4185_sub0	1	6	0	6	0	6	0	0
4327_sub0	1	22	0	22	0	20	0	2
433_sub0	1	10	10	0	10	0	0	0
443_sub0	1	7	7	0	7	0	0	0
4452_sub0	1	6	0	6	0	6	0	0
446_sub0	1	12	12	0	12	0	0	0
