task_id	hash	process	tag	status	exit	container	cpus	time	disk	memory	start	complete	duration	realtime	read_bytes	write_bytes	workdir	%mem	%cpu	vmem
1	22/6a94be	UMI_PIPELINE:PARSE_BED	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-08-28 14:15:03.705	2025-08-28 14:15:05.012	1.4s	4ms	0	4 KB	/media/qf0297/sequencing/umi-pipeline-nf/work/22/6a94be1cd46a48f973c7170d612472	0.0%	53.3%	0
5	cb/c07ff0	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-08-28 14:15:03.709	2025-08-28 14:15:47.247	43.6s	42.5s	98 MB	81.3 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/cb/c07ff05491b5663c931065f8bbec44	0.0%	11.7%	125.9 MB
12	bd/3947d8	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-08-28 14:15:04.109	2025-08-28 14:16:28.427	1m 24s	1m 22s	125.4 MB	106 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/bd/3947d82875977ec23dcb32483e02aa	0.0%	8.3%	125.9 MB
29	bd/f1e258	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-08-28 14:15:04.317	2025-08-28 14:16:38.149	1m 34s	1m 31s	134.8 MB	115 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/bd/f1e258a79c3040f76b913958a865a7	0.0%	8.1%	125.9 MB
23	5a/8980bf	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-08-28 14:15:04.311	2025-08-28 14:16:39.422	1m 35s	1m 32s	143.9 MB	120.9 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/5a/8980bfe8e83c521e406ec43e91b1dd	0.0%	8.4%	125.8 MB
8	f3/acf593	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-08-28 14:15:04.106	2025-08-28 14:17:19.684	2m 16s	2m 14s	203.4 MB	172 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/f3/acf5932a6d90992e86854932a3c081	0.0%	8.3%	126 MB
34	ad/ea9c7d	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-08-28 14:16:39.522	2025-08-28 14:17:27.480	48.1s	47.5s	75.5 MB	64.9 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/ad/ea9c7dcd5c74ef304d4bd74438d3a0	0.0%	8.3%	125.8 MB
24	47/04209b	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-08-28 14:15:04.314	2025-08-28 14:17:36.120	2m 32s	2m 29s	233.6 MB	195.2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/47/04209b89520085254ace7d7ea78b92	0.0%	8.3%	125.8 MB
2	d1/172f9a	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-08-28 14:15:03.710	2025-08-28 14:19:45.813	4m 42s	4m 41s	455.1 MB	378.5 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/d1/172f9ad79bd6d86fca48c9620170a8	0.0%	8.5%	125.9 MB
3	fe/0bb353	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-08-28 14:15:03.708	2025-08-28 14:19:48.003	4m 44s	4m 43s	455.4 MB	379.8 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/fe/0bb3534f21a4a4915590cf20d41d58	0.0%	8.4%	126 MB
