task_id	hash	process	tag	status	exit	container	cpus	time	disk	memory	start	complete	duration	realtime	read_bytes	write_bytes	workdir	%mem	%cpu	vmem
1	a8/d379a1	UMI_PIPELINE:PARSE_BED	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:32:42.588	2025-09-02 22:32:43.750	1.2s	4ms	0	4 KB	/media/qf0297/sequencing/umi-pipeline-nf/work/a8/d379a122cbe853d0ebbee3146c74c6	0.0%	110.3%	0
12	2a/2a7dc2	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:32:42.698	2025-09-02 22:33:31.481	48.8s	46.7s	110.1 MB	93.6 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/2a/2a7dc2664e80f28ecc58f9e0035f17	0.0%	11.5%	125.8 MB
29	cf/1df860	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:33:31.881	2025-09-02 22:33:33.592	1.7s	1.2s	8 KB	37.1 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/cf/1df860ac6cdd52bfcb8830c6cb5ef8	0.1%	1634.8%	25.4 GB
26	c6/7d7231	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:32:42.891	2025-09-02 22:33:34.968	52.1s	49s	83.4 MB	71.2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/c6/7d7231f4e3a19063844f09a7c3c98d	0.0%	9.3%	125.8 MB
31	9c/1cef3e	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:33:35.268	2025-09-02 22:33:36.777	1.6s	1s	0	28.1 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/9c/1cef3ea48ff2f6869989a440c96270	0.0%	1504.1%	887.3 MB
30	1e/9ef3f8	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:33:33.692	2025-09-02 22:33:37.013	3.4s	2.8s	540 KB	93.5 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/1e/9ef3f8610e6f017fc3984308e61a42	0.0%	98.9%	124.8 MB
5	65/27d667	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:32:42.787	2025-09-02 22:33:37.396	54.7s	52.5s	98 MB	81.3 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/65/27d66733a40fdcad7a11df28e06080	0.0%	10.2%	125.9 MB
34	30/0facd3	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:33:37.697	2025-09-02 22:33:39.363	1.7s	1.2s	4 KB	32.4 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/30/0facd3e04f9f7a9a4cea20e1ba436f	0.1%	1475.3%	25.9 GB
33	fb/5f5dc6	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:33:37.314	2025-09-02 22:33:39.669	2.4s	1.8s	0	65.6 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/fb/5f5dc61c746cbc2cf1bc9671bcf03e	0.0%	99.7%	127.8 MB
32	8d/36d266	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:33:36.878	2025-09-02 22:33:39.988	3.2s	2.2s	0	71.2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/8d/36d2660f745623a2cbed7b5b2f1950	0.0%	100.8%	124.8 MB
36	9e/7cbfb2	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:33:40.188	2025-09-02 22:33:41.868	1.7s	1.2s	0	49.3 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/9e/7cbfb21f5686d0a5d257953b76a296	0.0%	100.1%	128 MB
35	64/1ab5d1	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:33:39.464	2025-09-02 22:33:42.509	3.1s	2.3s	0	81.5 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/64/1ab5d1e6d65044a03bcca59333932e	0.0%	100.2%	124.8 MB
37	5c/9f2eff	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:33:42.710	2025-09-02 22:33:44.526	1.9s	1.3s	0	54.7 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/5c/9f2eff326723295fa5904e14a28ecb	0.0%	100.1%	128.1 MB
11	80/7fff0b	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:32:42.794	2025-09-02 22:33:56.228	1m 13s	1m 11s	143.9 MB	120.9 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/80/7fff0b555b0a0a2513df766c616ce2	0.0%	10.1%	125.8 MB
38	45/7dfe0d	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:33:56.628	2025-09-02 22:33:58.791	2.2s	1.6s	0	47.8 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/45/7dfe0d149a692c947ccf427067ef11	0.2%	1618.7%	25.8 GB
39	b3/3cf934	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:33:58.891	2025-09-02 22:34:02.577	3.8s	3.2s	0	121.2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/b3/3cf934455adeb90d2721a193cefbe9	0.0%	100.1%	124.8 MB
40	0e/e3fb72	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:34:02.878	2025-09-02 22:34:05.241	2.5s	1.9s	0	81.9 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/0e/e3fb7260df4ce19b3d63c417bbd10a	0.0%	100.4%	128.2 MB
20	5c/b27462	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:32:42.892	2025-09-02 22:35:15.413	2m 33s	2m 29s	419.2 MB	353.7 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/5c/b274625ac6809eb79d04db5fe6affc	0.0%	14.0%	126 MB
16	22/320456	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:32:42.697	2025-09-02 22:35:16.409	2m 34s	2m 32s	441.2 MB	395.6 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/22/320456e0c4fc03ecaadf35a26d0f25	0.0%	14.9%	126 MB
41	15/70cda6	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:35:16.410	2025-09-02 22:35:22.998	6.6s	6s	12 KB	141.3 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/15/70cda6a6b24c075176b728f531e8bb	1.1%	1244.0%	26.2 GB
42	26/23d2fc	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:35:17.720	2025-09-02 22:35:24.535	6.9s	5.6s	24 KB	158.1 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/26/23d2fc4fcbb9db9fbc016d6f021021	1.0%	1468.6%	26.1 GB
13	76/71ccb9	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:32:42.790	2025-09-02 22:35:24.906	2m 42s	2m 40s	454.1 MB	394 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/76/71ccb99d4d9f6f67df3706cbcd4831	0.0%	14.4%	125.8 MB
2	a1/a122af	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:32:42.694	2025-09-02 22:35:25.237	2m 43s	2m 41s	455.1 MB	378.5 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/a1/a122afaa81585f580c18fa9d101c17	0.0%	13.7%	125.9 MB
19	05/3fdbc4	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:32:42.989	2025-09-02 22:35:26.094	2m 43s	2m 40s	469 MB	396 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/05/3fdbc4decdce9d84b052549011a786	0.0%	14.9%	126 MB
3	d6/7e5793	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:32:42.791	2025-09-02 22:35:26.193	2m 43s	2m 41s	455.4 MB	379.8 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/d6/7e579364519118476102069d11dd76	0.0%	13.7%	126 MB
21	c2/6385c9	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:32:42.989	2025-09-02 22:35:26.615	2m 44s	2m 41s	468.6 MB	396.2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/c2/6385c90a5dfdd2ca3ff949abd753e3	0.0%	14.4%	125.9 MB
