sample	barcode
HG03007	barcode01
HG00653	barcode02
HG03864	barcode03
HG03064	barcode04
HG03585	barcode05
HG00654	barcode06
HG03869	barcode07
HG03069	barcode08
HG03808	barcode09
HG00704	barcode10
HG04015	barcode11
HG03212	barcode12
HG03809	barcode13
HG00705	barcode14
HG04018	barcode15
HG03378	barcode16
HG03902	barcode17
HG00115	barcode18
HG04198	barcode19
HG03436	barcode20
HG03908	barcode21
HG00116	barcode22
HG04206	barcode23
HG03439	barcode24
HG04152	barcode25
HG00128	barcode26
NA18952	barcode27
HG03484	barcode28
HG04153	barcode29
HG00133	barcode30
NA18953	barcode31
HG03485	barcode32
HG04171	barcode33
HG00149	barcode34
NA18970	barcode35
HG01589	barcode36
HG04176	barcode37
HG00151	barcode38
NA18978	barcode39
HG01593	barcode40
HG01029	barcode41
HG00252	barcode42
NA18999	barcode43
HG02655	barcode44
HG01046	barcode45
HG00255	barcode46
NA19000	barcode47
HG02657	barcode48
HG01811	barcode49
NA20862	barcode50
NA19072	barcode51
HG02737	barcode52
HG01812	barcode53
NA20866	barcode54
NA19074	barcode55
HG02778	barcode56
HG02180	barcode57
NA20892	barcode58
NA19017	barcode59
HG03022	barcode60
HG02181	barcode61
NA20895	barcode62
NA19024	barcode63
HG03234	barcode64
HG02385	barcode65
NA21088	barcode66
NA19313	barcode67
HG03762	barcode68
HG02386	barcode69
NA21089	barcode70
NA19317	barcode71
HG03765	barcode72
HG00421	barcode73
NA21104	barcode74
NA19355	barcode75
NA18867	barcode76
HG00422	barcode77
NA21108	barcode78
NA19375	barcode79
NA18868	barcode80
HG00536	barcode81
NA21137	barcode82
NA19399	barcode83
NA19092	barcode84
HG00543	barcode85
HG03715	barcode86
NA19401	barcode87
NA19098	barcode88
HG00595	barcode89
HG03778	barcode90
NA19462	barcode91
NA19189	barcode92
HG00607	barcode93
HG03779	barcode94
NA19466	barcode95
NA19190	barcode96
