cluster_id	cluster_written	reads_found	reads_found_fwd	reads_found_rev	reads_written_fwd	reads_written_rev	reads_skipped_fwd	reads_skipped_rev
1001_sub0	1	7	3	4	3	4	0	0
1006_sub0	1	6	4	2	4	2	0	0
10481_sub0	1	7	5	2	5	2	0	0
1054_sub0	1	6	5	1	5	1	0	0
1058_sub0	1	7	4	3	4	3	0	0
10681_sub0	1	7	3	4	3	4	0	0
1079_sub2	1	9	4	5	4	5	0	0
1095_sub0	1	8	5	3	5	3	0	0
1098_sub1	1	6	2	4	2	4	0	0
110_sub1	1	6	2	4	2	4	0	0
111_sub2	1	7	2	5	2	5	0	0
1110_sub1	1	6	3	3	3	3	0	0
1123_sub0	1	7	3	4	3	4	0	0
1130_sub0	1	7	2	5	2	5	0	0
114_sub1	1	6	3	3	3	3	0	0
1151_sub0	1	6	4	2	4	2	0	0
1157_sub0	1	9	3	6	3	6	0	0
1162_sub1	1	6	3	3	3	3	0	0
11707_sub0	1	6	3	3	3	3	0	0
1184_sub1	1	7	5	2	5	2	0	0
1186_sub0	1	6	3	3	3	3	0	0
121_sub1	1	6	1	5	1	5	0	0
1229_sub0	1	8	6	2	6	2	0	0
12342_sub2	1	10	6	4	6	4	0	0
1235_sub0	1	7	3	4	3	4	0	0
1252_sub2	1	6	1	5	1	5	0	0
1278_sub0	1	8	4	4	4	4	0	0
1295_sub0	1	6	2	4	2	4	0	0
1303_sub0	1	6	2	4	2	4	0	0
1335_sub0	1	6	4	2	4	2	0	0
1344_sub0	1	10	2	8	2	8	0	0
1346_sub2	1	7	4	3	4	3	0	0
1365_sub1	1	9	4	5	4	5	0	0
1366_sub0	1	8	3	5	3	5	0	0
1387_sub0	1	9	4	5	4	5	0	0
1406_sub1	1	8	3	5	3	5	0	0
1412_sub0	1	7	5	2	5	2	0	0
1434_sub1	1	6	3	3	3	3	0	0
1455_sub2	1	6	4	2	4	2	0	0
1465_sub0	1	7	6	1	6	1	0	0
1482_sub1	1	7	4	3	4	3	0	0
1512_sub0	1	8	3	5	3	5	0	0
1520_sub0	1	13	1	12	1	12	0	0
15390_sub0	1	7	4	3	4	3	0	0
155_sub1	1	7	2	5	2	5	0	0
15629_sub0	1	9	7	2	7	2	0	0
1563_sub0	1	6	3	3	3	3	0	0
15634_sub0	1	6	3	3	3	3	0	0
1566_sub0	1	9	4	5	4	5	0	0
1568_sub1	1	6	4	2	4	2	0	0
1579_sub1	1	6	3	3	3	3	0	0
1586_sub0	1	8	4	4	4	4	0	0
1587_sub3	1	6	3	3	3	3	0	0
16013_sub1	1	6	1	5	1	5	0	0
16273_sub0	1	7	5	2	5	2	0	0
1630_sub0	1	9	7	2	7	2	0	0
1632_sub0	1	7	0	7	0	7	0	0
1669_sub0	1	7	2	5	2	5	0	0
1670_sub1	1	6	3	3	3	3	0	0
1680_sub0	1	7	2	5	2	5	0	0
1692_sub0	1	6	4	2	4	2	0	0
1723_sub0	1	7	5	2	5	2	0	0
1732_sub1	1	7	6	1	6	1	0	0
1746_sub0	1	6	2	4	2	4	0	0
1750_sub0	1	6	2	4	2	4	0	0
1763_sub0	1	7	3	4	3	4	0	0
1767_sub1	1	6	3	3	3	3	0	0
1799_sub1	1	6	4	2	4	2	0	0
18_sub1	1	12	6	6	6	6	0	0
1811_sub0	1	8	1	7	1	7	0	0
1815_sub0	1	6	3	3	3	3	0	0
1816_sub1	1	7	2	5	2	5	0	0
1835_sub1	1	6	5	1	5	1	0	0
1844_sub0	1	7	4	3	4	3	0	0
1847_sub0	1	6	1	5	1	5	0	0
1849_sub0	1	8	5	3	5	3	0	0
1857_sub0	1	10	7	3	7	3	0	0
1861_sub1	1	6	2	4	2	4	0	0
1862_sub0	1	10	6	4	6	4	0	0
1867_sub1	1	9	3	6	3	6	0	0
1869_sub0	1	7	5	2	5	2	0	0
1884_sub1	1	9	3	6	3	6	0	0
1892_sub0	1	8	3	5	3	5	0	0
1901_sub0	1	6	2	4	2	4	0	0
1907_sub1	1	6	2	4	2	4	0	0
1908_sub0	1	9	5	4	5	4	0	0
1911_sub1	1	6	0	6	0	6	0	0
1921_sub0	1	7	4	3	4	3	0	0
1922_sub0	1	6	3	3	3	3	0	0
1928_sub2	1	6	4	2	4	2	0	0
1975_sub1	1	6	2	4	2	4	0	0
1976_sub1	1	8	4	4	4	4	0	0
2018_sub0	1	6	5	1	5	1	0	0
2029_sub1	1	6	5	1	5	1	0	0
2032_sub1	1	7	4	3	4	3	0	0
2050_sub1	1	6	4	2	4	2	0	0
2051_sub1	1	7	5	2	5	2	0	0
2067_sub0	1	8	7	1	7	1	0	0
2085_sub0	1	6	2	4	2	4	0	0
2089_sub0	1	7	6	1	6	1	0	0
2093_sub0	1	6	1	5	1	5	0	0
2115_sub0	1	11	5	6	5	6	0	0
2116_sub0	1	7	3	4	3	4	0	0
2121_sub0	1	6	3	3	3	3	0	0
2143_sub0	1	8	3	5	3	5	0	0
2145_sub0	1	10	5	5	5	5	0	0
2146_sub0	1	8	5	3	5	3	0	0
2147_sub1	1	8	5	3	5	3	0	0
2149_sub0	1	6	3	3	3	3	0	0
2152_sub1	1	9	4	5	4	5	0	0
2166_sub1	1	8	6	2	6	2	0	0
2214_sub0	1	8	7	1	7	1	0	0
2227_sub0	1	8	5	3	5	3	0	0
2236_sub0	1	8	2	6	2	6	0	0
2253_sub0	1	9	5	4	5	4	0	0
2266_sub0	1	6	2	4	2	4	0	0
2284_sub2	1	6	5	1	5	1	0	0
2292_sub0	1	8	5	3	5	3	0	0
23_sub1	1	12	6	6	6	6	0	0
2302_sub0	1	7	5	2	5	2	0	0
2326_sub0	1	8	6	2	6	2	0	0
2327_sub1	1	7	4	3	4	3	0	0
2354_sub0	1	9	5	4	5	4	0	0
2375_sub0	1	6	1	5	1	5	0	0
2379_sub0	1	9	3	6	3	6	0	0
239_sub2	1	7	2	5	2	5	0	0
2394_sub0	1	6	5	1	5	1	0	0
2397_sub0	1	7	4	3	4	3	0	0
2400_sub0	1	6	2	4	2	4	0	0
2406_sub0	1	7	4	3	4	3	0	0
2417_sub0	1	7	4	3	4	3	0	0
2433_sub0	1	7	1	6	1	6	0	0
2436_sub0	1	7	2	5	2	5	0	0
2438_sub1	1	6	4	2	4	2	0	0
2450_sub0	1	7	2	5	2	5	0	0
2456_sub4	1	6	5	1	5	1	0	0
2463_sub0	1	8	7	1	7	1	0	0
2482_sub0	1	7	5	2	5	2	0	0
2484_sub1	1	7	6	1	6	1	0	0
2486_sub0	1	6	3	3	3	3	0	0
2493_sub0	1	7	5	2	5	2	0	0
2513_sub0	1	9	4	5	4	5	0	0
2515_sub0	1	7	3	4	3	4	0	0
2520_sub0	1	6	3	3	3	3	0	0
2524_sub0	1	8	6	2	6	2	0	0
2532_sub1	1	6	3	3	3	3	0	0
2538_sub0	1	7	4	3	4	3	0	0
2543_sub0	1	7	3	4	3	4	0	0
2579_sub0	1	9	5	4	5	4	0	0
2587_sub0	1	6	3	3	3	3	0	0
260_sub2	1	7	2	5	2	5	0	0
2603_sub0	1	6	5	1	5	1	0	0
2604_sub0	1	6	1	5	1	5	0	0
2616_sub0	1	7	4	3	4	3	0	0
2620_sub0	1	9	5	4	5	4	0	0
264_sub1	1	6	3	3	3	3	0	0
2642_sub0	1	9	2	7	2	7	0	0
2645_sub0	1	6	3	3	3	3	0	0
2668_sub0	1	10	0	10	0	10	0	0
267_sub1	1	9	5	4	5	4	0	0
2680_sub0	1	7	1	6	1	6	0	0
2697_sub1	1	7	4	3	4	3	0	0
2704_sub0	1	6	2	4	2	4	0	0
2715_sub2	1	7	3	4	3	4	0	0
2736_sub0	1	7	3	4	3	4	0	0
2738_sub0	1	8	5	3	5	3	0	0
2741_sub1	1	9	5	4	5	4	0	0
2766_sub0	1	6	2	4	2	4	0	0
2795_sub0	1	6	2	4	2	4	0	0
2807_sub0	1	6	1	5	1	5	0	0
2810_sub0	1	7	3	4	3	4	0	0
2828_sub0	1	13	5	8	5	8	0	0
2838_sub0	1	7	5	2	5	2	0	0
2846_sub0	1	6	4	2	4	2	0	0
287_sub1	1	7	3	4	3	4	0	0
2881_sub1	1	9	5	4	5	4	0	0
2886_sub0	1	9	5	4	5	4	0	0
2903_sub0	1	9	6	3	6	3	0	0
296_sub1	1	8	5	3	5	3	0	0
2962_sub0	1	8	4	4	4	4	0	0
2963_sub0	1	6	3	3	3	3	0	0
2975_sub0	1	6	2	4	2	4	0	0
3003_sub0	1	6	1	5	1	5	0	0
3004_sub0	1	6	2	4	2	4	0	0
3019_sub0	1	7	5	2	5	2	0	0
3030_sub0	1	6	3	3	3	3	0	0
3036_sub0	1	10	4	6	4	6	0	0
3043_sub1	1	7	4	3	4	3	0	0
3062_sub0	1	10	7	3	7	3	0	0
3073_sub0	1	9	4	5	4	5	0	0
3088_sub0	1	6	3	3	3	3	0	0
3097_sub2	1	8	1	7	1	7	0	0
3102_sub0	1	6	3	3	3	3	0	0
3119_sub1	1	9	4	5	4	5	0	0
3132_sub0	1	6	1	5	1	5	0	0
3150_sub0	1	6	4	2	4	2	0	0
3153_sub0	1	6	3	3	3	3	0	0
3164_sub0	1	7	3	4	3	4	0	0
3187_sub2	1	6	5	1	5	1	0	0
32_sub1	1	6	3	3	3	3	0	0
3202_sub0	1	6	3	3	3	3	0	0
322_sub1	1	7	5	2	5	2	0	0
3237_sub0	1	6	5	1	5	1	0	0
3241_sub0	1	6	2	4	2	4	0	0
3243_sub0	1	8	3	5	3	5	0	0
3247_sub0	1	6	2	4	2	4	0	0
3250_sub0	1	6	0	6	0	6	0	0
3258_sub0	1	7	1	6	1	6	0	0
3307_sub0	1	7	4	3	4	3	0	0
3320_sub0	1	6	4	2	4	2	0	0
3357_sub0	1	8	5	3	5	3	0	0
3366_sub0	1	8	3	5	3	5	0	0
3390_sub2	1	6	2	4	2	4	0	0
3393_sub0	1	7	6	1	6	1	0	0
3397_sub1	1	8	3	5	3	5	0	0
340_sub0	1	6	3	3	3	3	0	0
341_sub0	1	11	8	3	8	3	0	0
3419_sub0	1	6	2	4	2	4	0	0
3428_sub0	1	6	3	3	3	3	0	0
3460_sub0	1	8	4	4	4	4	0	0
3468_sub0	1	7	4	3	4	3	0	0
349_sub0	1	6	3	3	3	3	0	0
3505_sub0	1	7	4	3	4	3	0	0
3507_sub0	1	6	3	3	3	3	0	0
3508_sub0	1	7	4	3	4	3	0	0
3515_sub0	1	9	4	5	4	5	0	0
3528_sub0	1	6	3	3	3	3	0	0
353_sub1	1	6	5	1	5	1	0	0
3564_sub0	1	6	3	3	3	3	0	0
3565_sub0	1	8	5	3	5	3	0	0
3571_sub0	1	8	4	4	4	4	0	0
358_sub1	1	10	3	7	3	7	0	0
3588_sub0	1	6	4	2	4	2	0	0
359_sub0	1	9	3	6	3	6	0	0
3597_sub0	1	6	4	2	4	2	0	0
360_sub0	1	9	3	6	3	6	0	0
361_sub0	1	7	5	2	5	2	0	0
3631_sub0	1	7	5	2	5	2	0	0
3632_sub1	1	7	4	3	4	3	0	0
3657_sub0	1	7	5	2	5	2	0	0
368_sub0	1	8	5	3	5	3	0	0
3697_sub0	1	6	4	2	4	2	0	0
3711_sub0	1	6	3	3	3	3	0	0
3714_sub0	1	9	6	3	6	3	0	0
3718_sub0	1	9	3	6	3	6	0	0
372_sub0	1	6	4	2	4	2	0	0
3722_sub0	1	6	3	3	3	3	0	0
3727_sub0	1	6	4	2	4	2	0	0
374_sub0	1	7	0	7	0	7	0	0
3755_sub0	1	6	3	3	3	3	0	0
3759_sub0	1	6	4	2	4	2	0	0
3763_sub0	1	7	4	3	4	3	0	0
3766_sub1	1	7	3	4	3	4	0	0
3791_sub0	1	6	3	3	3	3	0	0
3814_sub0	1	6	4	2	4	2	0	0
3862_sub0	1	8	7	1	7	1	0	0
3891_sub0	1	7	4	3	4	3	0	0
3901_sub0	1	6	3	3	3	3	0	0
3917_sub0	1	8	4	4	4	4	0	0
3945_sub0	1	7	4	3	4	3	0	0
3946_sub0	1	6	4	2	4	2	0	0
3953_sub0	1	7	1	6	1	6	0	0
3959_sub0	1	9	6	3	6	3	0	0
3971_sub0	1	11	6	5	6	5	0	0
3972_sub0	1	7	4	3	4	3	0	0
398_sub0	1	7	3	4	3	4	0	0
4017_sub0	1	6	5	1	5	1	0	0
403_sub0	1	11	1	10	1	10	0	0
4052_sub0	1	7	2	5	2	5	0	0
406_sub1	1	6	3	3	3	3	0	0
4091_sub0	1	6	3	3	3	3	0	0
4098_sub0	1	7	3	4	3	4	0	0
4139_sub0	1	6	4	2	4	2	0	0
4148_sub0	1	8	4	4	4	4	0	0
4157_sub0	1	6	2	4	2	4	0	0
416_sub1	1	6	2	4	2	4	0	0
4179_sub0	1	6	4	2	4	2	0	0
4183_sub0	1	7	3	4	3	4	0	0
