cluster_id	cluster_written	reads_found	reads_found_fwd	reads_found_rev	reads_written_fwd	reads_written_rev	reads_skipped_fwd	reads_skipped_rev
10_sub0	0	1	1	0	0	0	1	0
10_sub1	0	1	0	1	0	0	0	1
10_sub2	1	13	7	6	7	6	0	0
10_sub3	0	1	1	0	0	0	1	0
10_sub4	0	1	1	0	0	0	1	0
10002_sub0	1	6	4	2	4	2	0	0
10002_sub1	0	1	1	0	0	0	1	0
10002_sub2	0	1	1	0	0	0	1	0
1002_sub0	1	10	4	6	4	6	0	0
1002_sub1	0	1	1	0	0	0	1	0
1002_sub2	0	1	1	0	0	0	1	0
10025_sub0	0	1	1	0	0	0	1	0
10025_sub1	0	5	3	2	0	0	3	2
10035_sub0	0	1	0	1	0	0	0	1
10035_sub1	0	1	0	1	0	0	0	1
10035_sub2	0	4	0	4	0	0	0	4
1005_sub0	1	13	7	6	7	6	0	0
1005_sub1	0	1	0	1	0	0	0	1
10053_sub0	0	1	0	1	0	0	0	1
10053_sub1	0	4	2	2	0	0	2	2
10053_sub2	0	1	1	0	0	0	1	0
10120_sub0	0	1	0	1	0	0	0	1
10120_sub1	0	4	4	0	0	0	4	0
10120_sub2	0	1	1	0	0	0	1	0
1015_sub0	0	5	4	1	0	0	4	1
1015_sub1	0	1	1	0	0	0	1	0
1015_sub2	0	1	0	1	0	0	0	1
1015_sub3	0	1	0	1	0	0	0	1
1015_sub4	0	1	0	1	0	0	0	1
1016_sub0	1	6	3	3	3	3	0	0
1016_sub1	0	1	0	1	0	0	0	1
1016_sub2	0	1	1	0	0	0	1	0
1016_sub3	0	1	1	0	0	0	1	0
1016_sub4	0	1	1	0	0	0	1	0
1016_sub5	0	1	1	0	0	0	1	0
1019_sub0	1	13	6	7	6	7	0	0
10236_sub0	1	9	4	5	4	5	0	0
10236_sub1	0	1	1	0	0	0	1	0
10248_sub0	0	1	1	0	0	0	1	0
10248_sub1	1	6	2	4	2	4	0	0
10248_sub2	0	1	0	1	0	0	0	1
1025_sub0	1	13	6	7	6	7	0	0
1025_sub1	0	1	1	0	0	0	1	0
1025_sub2	0	1	0	1	0	0	0	1
1025_sub3	0	1	0	1	0	0	0	1
1025_sub4	0	1	0	1	0	0	0	1
1025_sub5	0	1	1	0	0	0	1	0
1025_sub6	0	1	1	0	0	0	1	0
1025_sub7	0	1	0	1	0	0	0	1
1025_sub8	0	1	0	1	0	0	0	1
103_sub0	0	1	0	1	0	0	0	1
103_sub1	0	1	1	0	0	0	1	0
103_sub2	1	13	10	3	10	3	0	0
103_sub3	0	1	0	1	0	0	0	1
103_sub4	0	1	1	0	0	0	1	0
103_sub5	0	1	1	0	0	0	1	0
103_sub6	0	1	0	1	0	0	0	1
103_sub7	0	1	1	0	0	0	1	0
103_sub8	0	1	0	1	0	0	0	1
103_sub9	0	1	1	0	0	0	1	0
103_sub10	0	1	1	0	0	0	1	0
1036_sub0	0	1	0	1	0	0	0	1
1036_sub1	1	10	7	3	7	3	0	0
1036_sub2	0	1	1	0	0	0	1	0
1036_sub3	0	1	1	0	0	0	1	0
1037_sub0	0	1	1	0	0	0	1	0
1037_sub1	1	8	5	3	5	3	0	0
1037_sub2	0	1	0	1	0	0	0	1
10395_sub0	0	1	1	0	0	0	1	0
10395_sub1	0	1	1	0	0	0	1	0
10395_sub2	1	7	3	4	3	4	0	0
10407_sub0	0	1	1	0	0	0	1	0
10407_sub1	0	1	1	0	0	0	1	0
10407_sub2	0	1	1	0	0	0	1	0
10407_sub3	0	1	1	0	0	0	1	0
10407_sub4	0	1	1	0	0	0	1	0
10407_sub5	0	1	1	0	0	0	1	0
1041_sub0	0	1	1	0	0	0	1	0
1041_sub1	0	1	0	1	0	0	0	1
1041_sub2	0	2	1	1	0	0	1	1
1041_sub3	1	8	6	2	6	2	0	0
1041_sub4	0	1	0	1	0	0	0	1
1041_sub5	0	1	0	1	0	0	0	1
1043_sub0	1	7	4	3	4	3	0	0
1043_sub1	0	1	1	0	0	0	1	0
1043_sub2	0	1	0	1	0	0	0	1
1043_sub3	0	1	0	1	0	0	0	1
10460_sub0	0	4	2	2	0	0	2	2
10460_sub1	0	1	1	0	0	0	1	0
10460_sub2	0	1	1	0	0	0	1	0
10460_sub3	0	1	0	1	0	0	0	1
10472_sub0	0	1	0	1	0	0	0	1
10472_sub1	1	6	3	3	3	3	0	0
10472_sub2	0	1	0	1	0	0	0	1
10472_sub3	0	1	0	1	0	0	0	1
1048_sub0	0	1	0	1	0	0	0	1
1048_sub1	0	1	1	0	0	0	1	0
1048_sub2	0	1	0	1	0	0	0	1
1048_sub3	1	16	10	6	10	6	0	0
1048_sub4	0	1	1	0	0	0	1	0
105_sub0	0	1	1	0	0	0	1	0
105_sub1	0	1	1	0	0	0	1	0
105_sub2	0	1	1	0	0	0	1	0
105_sub3	0	1	0	1	0	0	0	1
105_sub4	0	1	1	0	0	0	1	0
105_sub5	0	1	1	0	0	0	1	0
10508_sub0	0	5	2	3	0	0	2	3
10508_sub1	0	1	0	1	0	0	0	1
10508_sub2	0	1	1	0	0	0	1	0
10508_sub3	0	1	0	1	0	0	0	1
1052_sub0	1	11	6	5	6	5	0	0
1052_sub1	0	1	1	0	0	0	1	0
1052_sub2	0	1	0	1	0	0	0	1
1052_sub3	0	1	0	1	0	0	0	1
1052_sub4	0	1	0	1	0	0	0	1
1052_sub5	0	1	1	0	0	0	1	0
1052_sub6	0	1	1	0	0	0	1	0
10548_sub0	1	7	3	4	3	4	0	0
10548_sub1	0	1	0	1	0	0	0	1
1056_sub0	0	1	1	0	0	0	1	0
1056_sub1	0	1	0	1	0	0	0	1
1056_sub2	0	1	0	1	0	0	0	1
1056_sub3	0	1	0	1	0	0	0	1
1056_sub4	0	1	0	1	0	0	0	1
1056_sub5	0	1	0	1	0	0	0	1
10560_sub0	0	1	1	0	0	0	1	0
10560_sub1	0	5	2	3	0	0	2	3
1059_sub0	1	11	7	4	7	4	0	0
1059_sub1	0	1	1	0	0	0	1	0
1059_sub2	0	1	1	0	0	0	1	0
10633_sub0	0	1	1	0	0	0	1	0
10633_sub1	0	5	3	2	0	0	3	2
10633_sub2	0	1	1	0	0	0	1	0
10651_sub0	0	5	4	1	0	0	4	1
10651_sub1	0	1	0	1	0	0	0	1
10651_sub2	0	1	1	0	0	0	1	0
1066_sub0	1	12	8	4	8	4	0	0
1066_sub1	0	1	1	0	0	0	1	0
1068_sub0	0	1	0	1	0	0	0	1
1068_sub1	0	1	0	1	0	0	0	1
1068_sub2	1	8	3	5	3	5	0	0
1068_sub3	0	1	0	1	0	0	0	1
10682_sub0	0	1	0	1	0	0	0	1
10682_sub1	0	1	1	0	0	0	1	0
10682_sub2	0	1	0	1	0	0	0	1
10682_sub3	0	1	0	1	0	0	0	1
10682_sub4	0	1	1	0	0	0	1	0
10682_sub5	0	1	1	0	0	0	1	0
10682_sub6	0	1	1	0	0	0	1	0
1069_sub0	1	14	6	8	6	8	0	0
1069_sub1	0	1	0	1	0	0	0	1
1070_sub0	0	1	0	1	0	0	0	1
1070_sub1	1	6	1	5	1	5	0	0
1070_sub2	0	1	0	1	0	0	0	1
1070_sub3	0	1	1	0	0	0	1	0
10715_sub0	0	1	1	0	0	0	1	0
10715_sub1	0	5	2	3	0	0	2	3
10761_sub0	0	1	0	1	0	0	0	1
10761_sub1	0	1	1	0	0	0	1	0
10761_sub2	0	1	1	0	0	0	1	0
10761_sub3	0	1	1	0	0	0	1	0
10761_sub4	0	1	0	1	0	0	0	1
10761_sub5	0	1	1	0	0	0	1	0
10768_sub0	1	7	3	4	3	4	0	0
10768_sub1	0	1	0	1	0	0	0	1
10768_sub2	0	1	1	0	0	0	1	0
10768_sub3	0	1	0	1	0	0	0	1
10790_sub0	0	1	0	1	0	0	0	1
10790_sub1	0	1	1	0	0	0	1	0
10790_sub2	0	1	0	1	0	0	0	1
10790_sub3	0	1	1	0	0	0	1	0
10790_sub4	0	1	0	1	0	0	0	1
10790_sub5	0	1	1	0	0	0	1	0
10823_sub0	0	4	2	2	0	0	2	2
10823_sub1	0	1	0	1	0	0	0	1
10823_sub2	0	1	1	0	0	0	1	0
1084_sub0	1	9	3	6	3	6	0	0
1084_sub1	0	1	0	1	0	0	0	1
1084_sub2	0	1	1	0	0	0	1	0
1084_sub3	0	1	1	0	0	0	1	0
10845_sub0	0	1	0	1	0	0	0	1
10845_sub1	1	8	4	4	4	4	0	0
10845_sub2	0	1	0	1	0	0	0	1
1085_sub0	1	13	7	6	7	6	0	0
1085_sub1	0	1	0	1	0	0	0	1
1085_sub2	0	1	0	1	0	0	0	1
1085_sub3	0	1	1	0	0	0	1	0
10878_sub0	1	7	2	5	2	5	0	0
10935_sub0	1	6	0	6	0	6	0	0
10935_sub1	0	1	1	0	0	0	1	0
10935_sub2	0	1	0	1	0	0	0	1
10948_sub0	0	1	1	0	0	0	1	0
10948_sub1	0	1	1	0	0	0	1	0
10948_sub2	0	1	1	0	0	0	1	0
10948_sub3	0	1	1	0	0	0	1	0
10948_sub4	0	1	0	1	0	0	0	1
10948_sub5	0	1	1	0	0	0	1	0
1097_sub0	0	1	0	1	0	0	0	1
1097_sub1	1	10	2	8	2	8	0	0
1097_sub2	0	1	1	0	0	0	1	0
1097_sub3	0	1	1	0	0	0	1	0
1097_sub4	0	1	1	0	0	0	1	0
10973_sub0	0	1	0	1	0	0	0	1
10973_sub1	1	7	1	6	1	6	0	0
10973_sub2	0	1	0	1	0	0	0	1
1099_sub0	1	7	5	2	5	2	0	0
11_sub0	0	1	1	0	0	0	1	0
11_sub1	0	1	0	1	0	0	0	1
11_sub2	1	7	2	5	2	5	0	0
11030_sub0	1	6	3	3	3	3	0	0
1106_sub0	1	11	5	6	5	6	0	0
1106_sub1	0	1	1	0	0	0	1	0
1106_sub2	0	1	0	1	0	0	0	1
1107_sub0	0	1	0	1	0	0	0	1
1107_sub1	0	5	1	4	0	0	1	4
1107_sub2	0	1	0	1	0	0	0	1
1107_sub3	0	1	1	0	0	0	1	0
1108_sub0	0	4	1	3	0	0	1	3
1108_sub1	0	1	0	1	0	0	0	1
1108_sub2	0	1	0	1	0	0	0	1
1108_sub3	0	1	1	0	0	0	1	0
11102_sub0	0	1	1	0	0	0	1	0
11102_sub1	0	1	0	1	0	0	0	1
11102_sub2	0	1	0	1	0	0	0	1
11102_sub3	0	1	0	1	0	0	0	1
11102_sub4	0	1	0	1	0	0	0	1
11102_sub5	0	1	0	1	0	0	0	1
11123_sub0	0	4	2	2	0	0	2	2
11123_sub1	0	1	0	1	0	0	0	1
11123_sub2	0	1	1	0	0	0	1	0
1114_sub0	1	11	4	7	4	7	0	0
1114_sub1	0	1	0	1	0	0	0	1
1114_sub2	0	1	0	1	0	0	0	1
1114_sub3	0	1	0	1	0	0	0	1
11162_sub0	0	5	4	1	0	0	4	1
11162_sub1	0	1	1	0	0	0	1	0
11162_sub2	0	1	0	1	0	0	0	1
1117_sub0	0	1	0	1	0	0	0	1
1117_sub1	1	6	3	3	3	3	0	0
1117_sub2	0	1	1	0	0	0	1	0
1117_sub3	0	1	1	0	0	0	1	0
1117_sub4	0	1	0	1	0	0	0	1
11219_sub0	0	5	5	0	0	0	5	0
11219_sub1	0	1	0	1	0	0	0	1
11219_sub2	0	1	0	1	0	0	0	1
11248_sub0	1	6	2	4	2	4	0	0
11248_sub1	0	1	0	1	0	0	0	1
1126_sub0	1	6	3	3	3	3	0	0
1126_sub1	0	1	1	0	0	0	1	0
1129_sub0	1	8	0	8	0	8	0	0
1129_sub1	0	1	0	1	0	0	0	1
1129_sub2	0	1	1	0	0	0	1	0
1129_sub3	0	1	1	0	0	0	1	0
1129_sub4	0	1	0	1	0	0	0	1
11299_sub0	1	6	2	4	2	4	0	0
11299_sub1	0	1	0	1	0	0	0	1
1133_sub0	1	12	5	7	5	7	0	0
1133_sub1	0	1	0	1	0	0	0	1
1133_sub2	0	1	0	1	0	0	0	1
1133_sub3	0	1	0	1	0	0	0	1
1133_sub4	0	1	0	1	0	0	0	1
1133_sub5	0	1	0	1	0	0	0	1
1133_sub6	0	1	1	0	0	0	1	0
1133_sub7	0	1	0	1	0	0	0	1
1133_sub8	0	1	0	1	0	0	0	1
11346_sub0	0	1	1	0	0	0	1	0
11346_sub1	0	1	0	1	0	0	0	1
11346_sub2	0	5	2	3	0	0	2	3
114_sub0	0	1	0	1	0	0	0	1
114_sub1	1	9	4	5	4	5	0	0
114_sub2	0	1	0	1	0	0	0	1
1141_sub0	0	1	1	0	0	0	1	0
1141_sub1	0	5	3	2	0	0	3	2
1142_sub0	0	1	1	0	0	0	1	0
1142_sub1	1	11	5	6	5	6	0	0
11432_sub0	1	6	2	4	2	4	0	0
11432_sub1	0	1	0	1	0	0	0	1
1144_sub0	0	1	1	0	0	0	1	0
1144_sub1	0	1	0	1	0	0	0	1
1144_sub2	0	4	1	3	0	0	1	3
1144_sub3	0	1	0	1	0	0	0	1
1145_sub0	1	11	7	4	7	4	0	0
1145_sub1	0	1	0	1	0	0	0	1
1145_sub2	0	1	1	0	0	0	1	0
1147_sub0	0	1	1	0	0	0	1	0
1147_sub1	1	7	4	3	4	3	0	0
11497_sub0	0	1	0	1	0	0	0	1
11497_sub1	1	6	3	3	3	3	0	0
11497_sub2	0	1	1	0	0	0	1	0
115_sub0	0	1	0	1	0	0	0	1
115_sub1	1	7	5	2	5	2	0	0
115_sub2	0	1	1	0	0	0	1	0
1155_sub0	0	1	0	1	0	0	0	1
1155_sub1	0	1	0	1	0	0	0	1
1155_sub2	1	11	4	7	4	7	0	0
1155_sub3	0	1	1	0	0	0	1	0
1156_sub0	0	1	0	1	0	0	0	1
1156_sub1	1	7	4	3	4	3	0	0
1156_sub2	0	1	1	0	0	0	1	0
1156_sub3	0	1	1	0	0	0	1	0
1156_sub4	0	1	0	1	0	0	0	1
1156_sub5	0	1	0	1	0	0	0	1
1156_sub6	0	1	1	0	0	0	1	0
1156_sub7	0	1	0	1	0	0	0	1
1156_sub8	0	1	0	1	0	0	0	1
116_sub0	0	1	1	0	0	0	1	0
116_sub1	0	3	2	1	0	0	2	1
116_sub2	0	1	1	0	0	0	1	0
116_sub3	0	1	1	0	0	0	1	0
1160_sub0	1	8	4	4	4	4	0	0
1160_sub1	0	1	1	0	0	0	1	0
1163_sub0	1	8	3	5	3	5	0	0
1163_sub1	0	1	1	0	0	0	1	0
1166_sub0	1	14	7	7	7	7	0	0
1166_sub1	0	1	1	0	0	0	1	0
1166_sub2	0	1	1	0	0	0	1	0
1166_sub3	0	1	1	0	0	0	1	0
11671_sub0	0	1	1	0	0	0	1	0
11671_sub1	0	1	1	0	0	0	1	0
11671_sub2	1	7	3	4	3	4	0	0
11671_sub3	0	1	1	0	0	0	1	0
11671_sub4	0	1	0	1	0	0	0	1
1168_sub0	0	1	0	1	0	0	0	1
1168_sub1	0	1	0	1	0	0	0	1
1168_sub2	0	1	0	1	0	0	0	1
1168_sub3	0	1	1	0	0	0	1	0
1168_sub4	0	4	2	2	0	0	2	2
1168_sub5	0	1	1	0	0	0	1	0
1169_sub0	0	1	0	1	0	0	0	1
1169_sub1	0	5	4	1	0	0	4	1
11692_sub0	1	10	5	5	5	5	0	0
11692_sub1	0	1	1	0	0	0	1	0
11692_sub2	0	1	0	1	0	0	0	1
11707_sub0	0	1	1	0	0	0	1	0
11707_sub1	0	3	2	1	0	0	2	1
11707_sub2	0	1	0	1	0	0	0	1
11707_sub3	0	1	1	0	0	0	1	0
11707_sub4	0	1	1	0	0	0	1	0
11707_sub5	0	1	0	1	0	0	0	1
1172_sub0	0	4	3	1	0	0	3	1
1172_sub1	0	2	0	2	0	0	0	2
1172_sub2	0	1	1	0	0	0	1	0
1172_sub3	0	1	1	0	0	0	1	0
1177_sub0	1	9	6	3	6	3	0	0
1177_sub1	0	1	0	1	0	0	0	1
1177_sub2	0	1	0	1	0	0	0	1
11776_sub0	0	1	0	1	0	0	0	1
11776_sub1	0	1	1	0	0	0	1	0
11776_sub2	0	4	1	3	0	0	1	3
1180_sub0	1	11	5	6	5	6	0	0
1180_sub1	0	1	1	0	0	0	1	0
1181_sub0	1	7	2	5	2	5	0	0
1191_sub0	0	1	0	1	0	0	0	1
1191_sub1	1	7	3	4	3	4	0	0
1192_sub0	0	1	1	0	0	0	1	0
1192_sub1	1	10	4	6	4	6	0	0
1192_sub2	0	1	0	1	0	0	0	1
1193_sub0	0	1	1	0	0	0	1	0
1193_sub1	1	7	4	3	4	3	0	0
11944_sub0	0	1	1	0	0	0	1	0
11944_sub1	1	6	3	3	3	3	0	0
1195_sub0	0	1	0	1	0	0	0	1
1195_sub1	1	6	3	3	3	3	0	0
1196_sub0	1	11	2	9	2	9	0	0
1196_sub1	0	1	0	1	0	0	0	1
1196_sub2	0	1	1	0	0	0	1	0
12_sub0	0	1	0	1	0	0	0	1
12_sub1	0	1	1	0	0	0	1	0
12_sub2	1	10	6	4	6	4	0	0
12_sub3	0	1	1	0	0	0	1	0
12006_sub0	0	1	1	0	0	0	1	0
12006_sub1	1	7	4	3	4	3	0	0
12006_sub2	0	1	0	1	0	0	0	1
1206_sub0	0	1	0	1	0	0	0	1
1206_sub1	0	1	1	0	0	0	1	0
1206_sub2	0	1	1	0	0	0	1	0
1206_sub3	0	1	0	1	0	0	0	1
1206_sub4	0	1	0	1	0	0	0	1
1206_sub5	0	1	0	1	0	0	0	1
1206_sub6	0	1	0	1	0	0	0	1
1206_sub7	0	1	1	0	0	0	1	0
1208_sub0	1	8	3	5	3	5	0	0
1208_sub1	0	1	1	0	0	0	1	0
12091_sub0	0	1	0	1	0	0	0	1
12091_sub1	1	6	4	2	4	2	0	0
12091_sub2	0	1	1	0	0	0	1	0
12091_sub3	0	1	1	0	0	0	1	0
1211_sub0	0	1	0	1	0	0	0	1
1211_sub1	0	5	2	3	0	0	2	3
1211_sub2	0	1	1	0	0	0	1	0
1211_sub3	0	1	1	0	0	0	1	0
1211_sub4	0	1	1	0	0	0	1	0
12111_sub0	1	6	4	2	4	2	0	0
1212_sub0	1	8	2	6	2	6	0	0
1212_sub1	0	1	0	1	0	0	0	1
1212_sub2	0	1	0	1	0	0	0	1
1213_sub0	0	1	0	1	0	0	0	1
1213_sub1	0	1	1	0	0	0	1	0
1213_sub2	0	4	2	2	0	0	2	2
