cluster_id	cluster_written	reads_found	reads_found_fwd	reads_found_rev	reads_written_fwd	reads_written_rev	reads_skipped_fwd	reads_skipped_rev
10_sub0	0	1	0	1	0	0	0	1
10_sub1	0	1	1	0	0	0	1	0
10_sub2	1	33	15	18	10	10	5	8
10_sub3	0	1	0	1	0	0	0	1
10_sub4	0	1	0	1	0	0	0	1
10_sub5	0	1	1	0	0	0	1	0
1000_sub0	0	1	1	0	0	0	1	0
1000_sub1	0	1	0	1	0	0	0	1
1000_sub2	0	1	0	1	0	0	0	1
1000_sub3	0	1	0	1	0	0	0	1
1000_sub4	0	1	1	0	0	0	1	0
1000_sub5	0	1	0	1	0	0	0	1
10000_sub0	0	1	0	1	0	0	0	1
10000_sub1	0	1	0	1	0	0	0	1
10000_sub2	0	1	1	0	0	0	1	0
10000_sub3	0	1	0	1	0	0	0	1
10000_sub4	0	1	1	0	0	0	1	0
10000_sub5	0	1	0	1	0	0	0	1
10000_sub6	0	1	1	0	0	0	1	0
10006_sub0	0	4	2	2	0	0	2	2
10006_sub1	0	1	1	0	0	0	1	0
10006_sub2	0	1	0	1	0	0	0	1
10015_sub0	0	1	1	0	0	0	1	0
10015_sub1	0	1	0	1	0	0	0	1
10015_sub2	0	1	0	1	0	0	0	1
10015_sub3	0	1	1	0	0	0	1	0
10015_sub4	0	1	0	1	0	0	0	1
10015_sub5	0	1	0	1	0	0	0	1
10015_sub6	0	1	1	0	0	0	1	0
10017_sub0	0	1	0	1	0	0	0	1
10017_sub1	0	1	1	0	0	0	1	0
10017_sub2	0	1	1	0	0	0	1	0
10017_sub3	0	1	1	0	0	0	1	0
10017_sub4	0	1	1	0	0	0	1	0
10017_sub5	0	1	1	0	0	0	1	0
10020_sub0	1	13	5	8	5	8	0	0
10020_sub1	0	1	1	0	0	0	1	0
10020_sub2	0	1	0	1	0	0	0	1
10020_sub3	0	1	1	0	0	0	1	0
10020_sub4	0	1	1	0	0	0	1	0
10020_sub5	0	1	1	0	0	0	1	0
10020_sub6	0	1	1	0	0	0	1	0
10022_sub0	0	1	0	1	0	0	0	1
10022_sub1	0	1	1	0	0	0	1	0
10022_sub2	0	1	1	0	0	0	1	0
10022_sub3	0	1	1	0	0	0	1	0
10022_sub4	0	1	1	0	0	0	1	0
10022_sub5	0	1	0	1	0	0	0	1
10029_sub0	0	1	1	0	0	0	1	0
10029_sub1	0	1	0	1	0	0	0	1
10029_sub2	0	1	1	0	0	0	1	0
10029_sub3	0	1	1	0	0	0	1	0
10029_sub4	0	1	1	0	0	0	1	0
10029_sub5	0	1	1	0	0	0	1	0
10029_sub6	0	1	1	0	0	0	1	0
10029_sub7	0	1	0	1	0	0	0	1
10029_sub8	0	1	1	0	0	0	1	0
1003_sub0	0	1	1	0	0	0	1	0
1003_sub1	0	1	0	1	0	0	0	1
1003_sub2	0	1	1	0	0	0	1	0
1003_sub3	0	1	1	0	0	0	1	0
1003_sub4	0	1	0	1	0	0	0	1
1003_sub5	0	1	1	0	0	0	1	0
1003_sub6	0	1	1	0	0	0	1	0
1003_sub7	0	1	0	1	0	0	0	1
10036_sub0	0	1	0	1	0	0	0	1
10036_sub1	0	1	0	1	0	0	0	1
10036_sub2	0	1	0	1	0	0	0	1
10036_sub3	0	1	1	0	0	0	1	0
10036_sub4	0	1	0	1	0	0	0	1
10036_sub5	0	1	0	1	0	0	0	1
1004_sub0	0	1	0	1	0	0	0	1
1004_sub1	0	1	0	1	0	0	0	1
1004_sub2	1	26	14	12	10	10	4	2
1004_sub3	0	1	1	0	0	0	1	0
1004_sub4	0	3	1	2	0	0	1	2
1004_sub5	0	1	1	0	0	0	1	0
1004_sub6	0	1	0	1	0	0	0	1
10040_sub0	0	1	0	1	0	0	0	1
10040_sub1	0	1	1	0	0	0	1	0
10040_sub2	0	1	0	1	0	0	0	1
10040_sub3	0	1	1	0	0	0	1	0
10040_sub4	0	1	1	0	0	0	1	0
10040_sub5	0	1	0	1	0	0	0	1
10043_sub0	0	1	0	1	0	0	0	1
10043_sub1	0	1	1	0	0	0	1	0
10043_sub2	0	1	1	0	0	0	1	0
10043_sub3	0	1	1	0	0	0	1	0
10043_sub4	0	1	0	1	0	0	0	1
10043_sub5	0	1	0	1	0	0	0	1
10043_sub6	0	1	0	1	0	0	0	1
10043_sub7	0	1	1	0	0	0	1	0
10043_sub8	0	1	1	0	0	0	1	0
10046_sub0	0	2	1	1	0	0	1	1
10046_sub1	0	1	1	0	0	0	1	0
10046_sub2	0	1	0	1	0	0	0	1
10046_sub3	0	1	0	1	0	0	0	1
10046_sub4	0	1	0	1	0	0	0	1
10046_sub5	0	1	0	1	0	0	0	1
10047_sub0	0	1	1	0	0	0	1	0
10047_sub1	0	1	0	1	0	0	0	1
10047_sub2	0	1	1	0	0	0	1	0
10047_sub3	0	1	1	0	0	0	1	0
10047_sub4	0	1	1	0	0	0	1	0
10047_sub5	0	1	0	1	0	0	0	1
10047_sub6	0	1	0	1	0	0	0	1
10047_sub7	0	1	1	0	0	0	1	0
10047_sub8	0	1	1	0	0	0	1	0
10048_sub0	0	1	0	1	0	0	0	1
10048_sub1	0	1	1	0	0	0	1	0
10048_sub2	0	1	0	1	0	0	0	1
10048_sub3	0	1	0	1	0	0	0	1
10048_sub4	0	1	0	1	0	0	0	1
10048_sub5	0	1	0	1	0	0	0	1
10048_sub6	0	1	1	0	0	0	1	0
10048_sub7	0	1	1	0	0	0	1	0
10048_sub8	0	1	0	1	0	0	0	1
10049_sub0	0	1	1	0	0	0	1	0
10049_sub1	0	1	0	1	0	0	0	1
10049_sub2	0	1	1	0	0	0	1	0
10049_sub3	0	1	1	0	0	0	1	0
10049_sub4	0	1	1	0	0	0	1	0
10049_sub5	0	1	1	0	0	0	1	0
10049_sub6	0	1	0	1	0	0	0	1
1005_sub0	0	1	0	1	0	0	0	1
1005_sub1	0	1	1	0	0	0	1	0
1005_sub2	0	1	0	1	0	0	0	1
1005_sub3	0	1	1	0	0	0	1	0
1005_sub4	0	1	1	0	0	0	1	0
1005_sub5	0	1	0	1	0	0	0	1
10051_sub0	0	1	1	0	0	0	1	0
10051_sub1	0	1	0	1	0	0	0	1
10051_sub2	0	1	1	0	0	0	1	0
10051_sub3	0	1	0	1	0	0	0	1
10051_sub4	0	1	0	1	0	0	0	1
10051_sub5	0	1	0	1	0	0	0	1
10053_sub0	0	1	0	1	0	0	0	1
10053_sub1	0	1	0	1	0	0	0	1
10053_sub2	0	1	1	0	0	0	1	0
10053_sub3	0	1	1	0	0	0	1	0
10053_sub4	0	1	1	0	0	0	1	0
10053_sub5	0	1	1	0	0	0	1	0
10053_sub6	0	1	0	1	0	0	0	1
10053_sub7	0	1	1	0	0	0	1	0
10061_sub0	0	1	1	0	0	0	1	0
10061_sub1	0	1	0	1	0	0	0	1
10061_sub2	0	1	0	1	0	0	0	1
10061_sub3	0	1	1	0	0	0	1	0
10061_sub4	0	1	1	0	0	0	1	0
10061_sub5	0	1	0	1	0	0	0	1
10063_sub0	0	1	1	0	0	0	1	0
10063_sub1	0	1	1	0	0	0	1	0
10063_sub2	0	1	1	0	0	0	1	0
10063_sub3	0	1	1	0	0	0	1	0
10063_sub4	0	1	1	0	0	0	1	0
10063_sub5	0	1	1	0	0	0	1	0
10066_sub0	0	1	0	1	0	0	0	1
10066_sub1	0	1	0	1	0	0	0	1
10066_sub2	0	1	0	1	0	0	0	1
10066_sub3	0	1	1	0	0	0	1	0
10066_sub4	0	1	1	0	0	0	1	0
10066_sub5	0	1	1	0	0	0	1	0
10066_sub6	0	1	1	0	0	0	1	0
10070_sub0	0	1	1	0	0	0	1	0
10070_sub1	0	1	0	1	0	0	0	1
