cluster_id	cluster_written	reads_found	reads_found_fwd	reads_found_rev	reads_written_fwd	reads_written_rev	reads_skipped_fwd	reads_skipped_rev
100_sub1	1	11	6	5	6	5	0	0
10005_sub0	1	24	12	12	10	10	2	2
10006_sub0	1	29	16	13	10	10	6	3
10012_sub0	1	10	6	4	6	4	0	0
10031_sub0	1	6	3	3	3	3	0	0
10038_sub0	1	19	5	14	5	14	0	0
10048_sub0	1	11	3	8	3	8	0	0
10058_sub0	1	7	4	3	4	3	0	0
1010_sub2	1	16	8	8	8	8	0	0
10113_sub0	1	6	2	4	2	4	0	0
10118_sub0	1	8	2	6	2	6	0	0
1013_sub1	1	12	4	8	4	8	0	0
1014_sub1	1	16	5	11	5	11	0	0
10142_sub0	1	14	7	7	7	7	0	0
1015_sub2	1	18	10	8	10	8	0	0
10154_sub0	1	22	8	14	8	12	0	2
1016_sub1	1	16	5	11	5	11	0	0
10171_sub1	1	8	3	5	3	5	0	0
10180_sub0	1	7	3	4	3	4	0	0
10184_sub0	1	27	16	11	10	10	6	1
10189_sub0	1	13	7	6	7	6	0	0
1019_sub1	1	15	9	6	9	6	0	0
10190_sub0	1	30	17	13	10	10	7	3
1020_sub1	1	19	8	11	8	11	0	0
10201_sub0	1	16	9	7	9	7	0	0
10209_sub0	1	18	8	10	8	10	0	0
1021_sub1	1	20	10	10	10	10	0	0
10229_sub0	1	20	11	9	11	9	0	0
1023_sub1	1	28	14	14	10	10	4	4
10238_sub0	1	6	2	4	2	4	0	0
10241_sub1	1	7	4	3	4	3	0	0
10248_sub2	1	6	2	4	2	4	0	0
10257_sub0	1	14	7	7	7	7	0	0
10281_sub0	1	7	5	2	5	2	0	0
10283_sub0	1	20	8	12	8	12	0	0
10290_sub0	1	8	5	3	5	3	0	0
10296_sub0	1	12	7	5	7	5	0	0
103_sub1	1	25	8	17	8	12	0	5
1030_sub1	1	25	12	13	10	10	2	3
10303_sub0	1	8	4	4	4	4	0	0
10305_sub0	1	25	9	16	9	11	0	5
1031_sub2	1	22	13	9	11	9	2	0
10311_sub1	1	20	8	12	8	12	0	0
10320_sub0	1	14	7	7	7	7	0	0
1035_sub2	1	23	10	13	10	10	0	3
10354_sub1	1	15	8	7	8	7	0	0
10369_sub0	1	13	5	8	5	8	0	0
10379_sub0	1	10	4	6	4	6	0	0
1038_sub0	1	13	8	5	8	5	0	0
10388_sub0	1	8	2	6	2	6	0	0
10390_sub0	1	13	5	8	5	8	0	0
10410_sub0	1	11	7	4	7	4	0	0
1042_sub2	1	9	1	8	1	8	0	0
10422_sub0	1	31	16	15	10	10	6	5
10427_sub1	1	7	4	3	4	3	0	0
1043_sub1	1	19	6	13	6	13	0	0
10474_sub2	1	6	3	3	3	3	0	0
1048_sub1	1	23	11	12	10	10	1	2
1049_sub2	1	20	10	10	10	10	0	0
1050_sub6	1	8	4	4	4	4	0	0
10513_sub0	1	20	8	12	8	12	0	0
10517_sub0	1	9	4	5	4	5	0	0
10519_sub1	1	25	11	14	10	10	1	4
10531_sub0	1	25	14	11	10	10	4	1
10536_sub4	1	17	5	12	5	12	0	0
10538_sub1	1	8	5	3	5	3	0	0
10547_sub0	1	10	5	5	5	5	0	0
10548_sub1	1	23	10	13	10	10	0	3
10580_sub2	1	11	7	4	7	4	0	0
10586_sub0	1	12	8	4	8	4	0	0
1059_sub3	1	15	9	6	9	6	0	0
1060_sub1	1	28	13	15	10	10	3	5
10601_sub0	1	16	6	10	6	10	0	0
10606_sub0	1	19	9	10	9	10	0	0
10621_sub0	1	9	4	5	4	5	0	0
10624_sub0	1	22	9	13	9	11	0	2
10642_sub0	1	10	4	6	4	6	0	0
10654_sub0	1	9	4	5	4	5	0	0
10658_sub1	1	8	3	5	3	5	0	0
10660_sub0	1	11	6	5	6	5	0	0
1067_sub0	1	24	8	16	8	12	0	4
1069_sub2	1	6	2	4	2	4	0	0
1071_sub1	1	9	3	6	3	6	0	0
10712_sub0	1	30	15	15	10	10	5	5
1074_sub1	1	22	8	14	8	12	0	2
10758_sub0	1	7	2	5	2	5	0	0
10759_sub0	1	16	4	12	4	12	0	0
10769_sub0	1	7	3	4	3	4	0	0
1078_sub1	1	30	13	17	10	10	3	7
10780_sub0	1	20	17	3	17	3	0	0
10795_sub0	1	8	6	2	6	2	0	0
108_sub1	1	26	11	15	10	10	1	5
10800_sub1	1	7	4	3	4	3	0	0
10803_sub0	1	12	5	7	5	7	0	0
10805_sub1	1	11	3	8	3	8	0	0
10810_sub1	1	8	4	4	4	4	0	0
10817_sub1	1	19	8	11	8	11	0	0
10820_sub0	1	15	9	6	9	6	0	0
10825_sub1	1	14	6	8	6	8	0	0
10851_sub0	1	11	7	4	7	4	0	0
10854_sub0	1	17	8	9	8	9	0	0
10859_sub0	1	15	6	9	6	9	0	0
1086_sub2	1	19	7	12	7	12	0	0
10875_sub0	1	16	9	7	9	7	0	0
10882_sub0	1	10	6	4	6	4	0	0
10885_sub0	1	12	5	7	5	7	0	0
10894_sub0	1	12	4	8	4	8	0	0
1090_sub1	1	18	15	3	15	3	0	0
10902_sub2	1	12	5	7	5	7	0	0
1091_sub5	1	28	16	12	10	10	6	2
10918_sub0	1	7	3	4	3	4	0	0
1092_sub0	1	26	11	15	10	10	1	5
10951_sub0	1	32	19	13	10	10	9	3
10963_sub0	1	29	12	17	10	10	2	7
10979_sub0	1	22	7	15	7	13	0	2
1098_sub1	1	19	10	9	10	9	0	0
10988_sub0	1	13	8	5	8	5	0	0
1099_sub1	1	16	6	10	6	10	0	0
10998_sub0	1	7	1	6	1	6	0	0
11007_sub0	1	8	3	5	3	5	0	0
1101_sub1	1	9	4	5	4	5	0	0
11021_sub0	1	23	12	11	10	10	2	1
11029_sub1	1	6	3	3	3	3	0	0
11036_sub0	1	15	11	4	11	4	0	0
1104_sub1	1	9	5	4	5	4	0	0
11054_sub2	1	12	7	5	7	5	0	0
11057_sub0	1	9	4	5	4	5	0	0
1106_sub0	1	18	9	9	9	9	0	0
11063_sub1	1	25	10	15	10	10	0	5
1109_sub1	1	20	13	7	13	7	0	0
11093_sub0	1	10	2	8	2	8	0	0
1111_sub3	1	31	20	11	10	10	10	1
11112_sub0	1	7	4	3	4	3	0	0
11125_sub1	1	19	8	11	8	11	0	0
1113_sub1	1	29	15	14	10	10	5	4
11145_sub0	1	9	3	6	3	6	0	0
11160_sub1	1	8	3	5	3	5	0	0
