barcode	target	n_cluster	task_index	timestamp	sample	task_index_chtronological	runtime_hours	runtime_minutes
barcode68	lpa5104	1	1	2026-02-02T13:27:00Z	HG03234	1	0	0
barcode68	lpa5104	1	1	2026-02-02T13:28:00Z	HG03234	2	0.016666666666666666	1
barcode65	lpa5104	0	2	2026-02-02T13:28:00Z	HG01593	1	0.016666666666666666	1
barcode68	lpa5104	1	1	2026-02-02T13:34:00Z	HG03234	3	0.11666666666666667	7
barcode65	lpa5104	0	2	2026-02-02T13:34:00Z	HG01593	2	0.11666666666666667	7
barcode66	lpa5104	0	3	2026-02-02T13:34:00Z	HG02657	1	0.11666666666666667	7
barcode68	lpa5104	1	1	2026-02-02T13:36:00Z	HG03234	4	0.15	9
barcode65	lpa5104	0	2	2026-02-02T13:36:00Z	HG01593	3	0.15	9
barcode66	lpa5104	0	3	2026-02-02T13:36:00Z	HG02657	2	0.15	9
barcode70	lpa5104	0	4	2026-02-02T13:36:00Z	NA18868	1	0.15	9
barcode68	lpa5104	1	1	2026-02-02T13:37:00Z	HG03234	5	0.16666666666666666	10
barcode65	lpa5104	0	2	2026-02-02T13:37:00Z	HG01593	4	0.16666666666666666	10
barcode66	lpa5104	0	3	2026-02-02T13:37:00Z	HG02657	3	0.16666666666666666	10
barcode70	lpa5104	0	4	2026-02-02T13:37:00Z	NA18868	2	0.16666666666666666	10
barcode71	lpa5104	0	5	2026-02-02T13:37:00Z	NA19098	1	0.16666666666666666	10
barcode67	lpa5104	1	6	2026-02-02T13:37:00Z	HG02778	1	0.16666666666666666	10
barcode68	lpa5104	1	1	2026-02-02T13:40:00Z	HG03234	6	0.21666666666666667	13
barcode65	lpa5104	0	2	2026-02-02T13:40:00Z	HG01593	5	0.21666666666666667	13
barcode66	lpa5104	0	3	2026-02-02T13:40:00Z	HG02657	4	0.21666666666666667	13
barcode70	lpa5104	0	4	2026-02-02T13:40:00Z	NA18868	3	0.21666666666666667	13
barcode71	lpa5104	0	5	2026-02-02T13:40:00Z	NA19098	2	0.21666666666666667	13
barcode67	lpa5104	1	6	2026-02-02T13:40:00Z	HG02778	2	0.21666666666666667	13
barcode69	lpa5104	1	7	2026-02-02T13:40:00Z	HG03765	1	0.21666666666666667	13
barcode65	lpa5104	0	2	2026-02-02T13:48:00Z	HG01593	6	0.35	21
barcode66	lpa5104	0	3	2026-02-02T13:48:00Z	HG02657	5	0.35	21
barcode70	lpa5104	0	4	2026-02-02T13:48:00Z	NA18868	4	0.35	21
barcode71	lpa5104	0	5	2026-02-02T13:48:00Z	NA19098	3	0.35	21
barcode67	lpa5104	1	6	2026-02-02T13:48:00Z	HG02778	3	0.35	21
barcode69	lpa5104	1	7	2026-02-02T13:48:00Z	HG03765	2	0.35	21
barcode68	lpa5104	2	8	2026-02-02T13:48:00Z	HG03234	7	0.35	21
barcode66	lpa5104	0	3	2026-02-02T13:51:00Z	HG02657	6	0.4	24
barcode70	lpa5104	0	4	2026-02-02T13:51:00Z	NA18868	5	0.4	24
barcode71	lpa5104	0	5	2026-02-02T13:51:00Z	NA19098	4	0.4	24
barcode67	lpa5104	1	6	2026-02-02T13:51:00Z	HG02778	4	0.4	24
barcode69	lpa5104	1	7	2026-02-02T13:51:00Z	HG03765	3	0.4	24
barcode68	lpa5104	2	8	2026-02-02T13:51:00Z	HG03234	8	0.4	24
barcode65	lpa5104	2	9	2026-02-02T13:51:00Z	HG01593	7	0.4	24
barcode70	lpa5104	0	4	2026-02-02T13:59:00Z	NA18868	6	0.5333333333333333	32
barcode71	lpa5104	0	5	2026-02-02T13:59:00Z	NA19098	5	0.5333333333333333	32
barcode67	lpa5104	1	6	2026-02-02T13:59:00Z	HG02778	5	0.5333333333333333	32
barcode69	lpa5104	1	7	2026-02-02T13:59:00Z	HG03765	4	0.5333333333333333	32
