Genus	Pipeline	Abundance
Bacillus	Theoretical	17.4
Bacillus	ONT_10.3_UMI	14.44
Bacillus	umi-pipeline-nf_POA-based	14.06970840783171
Bacillus	umi-pipeline-nf_Reference-based	13.81370012829411
Enterococcus	Theoretical	9.9
Enterococcus	ONT_10.3_UMI	4.31
Enterococcus	umi-pipeline-nf_POA-based	3.9953203982076237
Enterococcus	umi-pipeline-nf_Reference-based	3.9308473720739476
Escherichia	Theoretical	10.1
Escherichia	ONT_10.3_UMI	12.41
Escherichia	umi-pipeline-nf_POA-based	8.937597951570536
Escherichia	umi-pipeline-nf_Reference-based	10.318211453929797
Lactobacillus	Theoretical	18.4
Lactobacillus	ONT_10.3_UMI	15.18
Lactobacillus	umi-pipeline-nf_POA-based	14.875394565481315
Lactobacillus	umi-pipeline-nf_Reference-based	14.867394367678296
Listeria	Theoretical	14.1
Listeria	ONT_10.3_UMI	12.02
Listeria	umi-pipeline-nf_POA-based	12.425225702492108
Listeria	umi-pipeline-nf_Reference-based	12.40667129366732
Pseudomonas	Theoretical	4.2
Pseudomonas	ONT_10.3_UMI	6.47
Pseudomonas	umi-pipeline-nf_POA-based	6.6309074454230394
Pseudomonas	umi-pipeline-nf_Reference-based	6.835341872252719
Salmonella	Theoretical	10.4
Salmonella	ONT_10.3_UMI	6.05
Salmonella	umi-pipeline-nf_POA-based	6.9730481425071185
Salmonella	umi-pipeline-nf_Reference-based	5.817401728815698
Staphylococcus	Theoretical	15.5
Staphylococcus	ONT_10.3_UMI	29.12
Staphylococcus	umi-pipeline-nf_POA-based	31.245171401452442
Staphylococcus	umi-pipeline-nf_Reference-based	31.21332576187772
other	Theoretical	0
other	ONT_10.3_UMI	0
other	umi-pipeline-nf_POA-based	0.8476259850341037
other	umi-pipeline-nf_Reference-based	0.797106021410394
