polishing	mode	sample_num	total_runtime_sec	condition_order	type	lwr	upr	estimate
POA-based	CPU	1	12920.540999889374	4	Observed	NA	NA	NA
POA-based	CPU	10	108357.15999984741	4	Observed	NA	NA	NA
POA-based	CPU	20	205421.8410000801	4	Observed	NA	NA	NA
POA-based	GPU	1	3804.19300031662	3	Observed	NA	NA	NA
POA-based	GPU	10	35460.7460000515	3	Observed	NA	NA	NA
POA-based	GPU	20	70050.28099989891	3	Observed	NA	NA	NA
POA-based	GPU	5	17808.357000112534	3	Observed	NA	NA	NA
POA-based	GPU	50	177608.20599985123	3	Observed	NA	NA	NA
POA-based	GPU	96	303799.4659998417	3	Observed	NA	NA	NA
Reference-based	CPU	1	507.53700017929077	2	Observed	NA	NA	NA
Reference-based	CPU	10	4112.033999919891	2	Observed	NA	NA	NA
Reference-based	CPU	20	8292.654000043869	2	Observed	NA	NA	NA
Reference-based	CPU	5	2088.0820002555847	2	Observed	NA	NA	NA
Reference-based	CPU	50	21364.77800011635	2	Observed	NA	NA	NA
Reference-based	CPU	96	38624.638000011444	2	Observed	NA	NA	NA
Reference-based	GPU	1	157.8199999332428	1	Observed	NA	NA	NA
Reference-based	GPU	10	949.4670000076294	1	Observed	NA	NA	NA
Reference-based	GPU	20	2152.776000022888	1	Observed	NA	NA	NA
Reference-based	GPU	5	469.25400018692017	1	Observed	NA	NA	NA
Reference-based	GPU	50	5715.648999929428	1	Observed	NA	NA	NA
Reference-based	GPU	96	10445.27799987793	1	Observed	NA	NA	NA
POA-based	CPU	5	57116.820760512106	NA	Predicted	56979.865891497	57254.104809595534	0.923441447485859
POA-based	CPU	50	478856.5951477503	NA	Predicted	476634.9114542541	481088.6345208564	0.923441447485859
POA-based	CPU	96	874616.3060287784	NA	Predicted	869621.9571465877	879639.3380882419	0.923441447485859
