task_id	hash	process	tag	status	exit	container	cpus	time	disk	memory	start	complete	duration	realtime	read_bytes	write_bytes	workdir	%mem	%cpu	vmem
1	b0/eccb15	UMI_PIPELINE:PARSE_BED	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 12:41:14.062	2025-09-02 12:41:15.641	1.6s	3ms	0	4 KB	/media/qf0297/sequencing/umi-pipeline-nf/work/b0/eccb154667c019468074da09e0c315	0.0%	94.1%	0
26	c7/4066b3	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 12:41:14.164	2025-09-02 12:41:20.027	5.9s	4.5s	120 KB	93.6 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/c7/4066b36cf7ddaa590bb007a635820e	0.0%	98.8%	125.8 MB
30	66/4c5af1	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 12:41:14.267	2025-09-02 12:41:34.196	20s	18.2s	416 KB	395.6 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/66/4c5af17a57ffa088ab83ecad74ca1e	0.0%	98.1%	126 MB
31	2b/897bff	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 12:41:14.166	2025-09-02 12:41:34.411	20.3s	18.5s	416 KB	396.5 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/2b/897bff3b092c8c83883467fc56196a	0.0%	96.5%	125.9 MB
29	01/1e3b9b	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 12:41:14.268	2025-09-02 12:41:34.505	20.3s	18.2s	420 KB	398.8 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/01/1e3b9b4cc13c2ebf523998be70b32f	0.0%	97.2%	126 MB
27	a8/6d9c37	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 12:41:14.368	2025-09-02 12:41:35.124	20.8s	18.5s	428 KB	393.9 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/a8/6d9c37de6d4333ec0be7cc1b778fd3	0.0%	99.1%	125.8 MB
28	b6/c15d9d	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 12:41:14.368	2025-09-02 12:41:36.385	22.1s	18.3s	404 KB	393.7 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/b6/c15d9d1a40682d34dfff0e037fb376	0.0%	95.5%	126 MB
17	15/3578f2	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 12:41:14.165	2025-09-02 12:41:50.162	36.1s	34.2s	75.5 MB	64.9 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/15/3578f28e9e2b4fd4189c8b30a1676a	0.0%	11.8%	125.8 MB
5	86/ec71b4	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 12:41:14.468	2025-09-02 12:41:58.486	44.1s	40.5s	66.4 MB	81.3 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/86/ec71b430b3084dc9f11f57366bcd3e	0.0%	11.5%	125.9 MB
11	28/8e3ede	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 12:41:14.569	2025-09-02 12:42:20.257	1m 6s	1m 2s	97.9 MB	120.9 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/28/8e3ede926f03bc8ca51c1fc76999a6	0.0%	10.8%	125.8 MB
12	73/7f29b0	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 12:41:14.268	2025-09-02 12:42:37.175	1m 23s	1m 21s	134.8 MB	115 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/73/7f29b027181cbb80f7783335ad5b2f	0.0%	8.8%	125.9 MB
40	40/3c25c2	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 12:41:58.586	2025-09-02 12:42:40.053	41.6s	41s	56.3 MB	71.2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/40/3c25c234ba36c36fa16cbb7cef13b8	0.0%	9.7%	125.8 MB
34	8f/610d8a	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 12:41:34.506	2025-09-02 12:44:39.897	3m 5s	3m 5s	286.4 MB	353.7 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/8f/610d8a8df9a313f7b923b8ecae93cd	0.0%	10.5%	126 MB
32	89/a8c668	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 12:41:14.472	2025-09-02 12:44:40.869	3m 26s	3m 23s	320.2 MB	395.8 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/89/a8c6686820ed4ca18cdd3f7293ce27	0.0%	10.7%	126 MB
9	d0/33d814	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 12:41:14.468	2025-09-02 12:44:40.990	3m 27s	3m 23s	317.3 MB	392.3 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/d0/33d8141e702c70a7430e0820fe13e8	0.0%	10.6%	125.8 MB
