task_id	hash	process	tag	status	exit	container	cpus	time	disk	memory	start	complete	duration	realtime	read_bytes	write_bytes	workdir	%mem	%cpu	vmem
1	04/21cf86	UMI_PIPELINE:PARSE_BED	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-06 19:02:23.514	2025-09-06 19:02:24.922	1.5s	3ms	820 KB	4 KB	/media/qf0297/sequencing/umi-pipeline-nf/work/04/21cf867dc1e5e9681c091418cd6cce	0.0%	43.8%	0
2	2f/ae015e	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-06 19:02:24.019	2025-09-06 19:02:31.239	7.3s	6.1s	111 MB	93.6 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/2f/ae015eb9ecd8fca951992ff5e8733d	0.0%	73.7%	125.8 MB
8	ff/197a6c	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-06 19:02:31.640	2025-09-06 19:02:33.575	2s	1.3s	3.2 MB	37.1 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/ff/197a6c472a57ac65ede5088fc2cb82	0.3%	1486.9%	25.8 GB
9	89/f66bf8	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-06 19:02:33.675	2025-09-06 19:02:36.649	3s	2.5s	536 KB	93.5 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/89/f66bf8470c430d673ed06f2cb7e529	0.0%	99.9%	124.8 MB
10	03/ef65b1	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-06 19:02:36.950	2025-09-06 19:02:38.886	2s	1.4s	2 MB	65.6 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/03/ef65b17657e296ad41de6f17ed7371	0.0%	99.8%	128.1 MB
6	7b/a00b64	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-06 19:02:24.020	2025-09-06 19:02:47.400	23.4s	22.2s	467.2 MB	395.6 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/7b/a00b64c1bbd6dd1a390ae81dc6071b	0.0%	83.7%	126 MB
3	f1/c47d73	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-06 19:02:24.017	2025-09-06 19:02:47.839	23.9s	22.6s	487 MB	393.9 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/f1/c47d7389ddb6a00b5f8449acb2606e	0.0%	82.2%	125.8 MB
7	cf/f44604	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-06 19:02:24.014	2025-09-06 19:02:47.965	24s	22.4s	467.6 MB	396.5 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/cf/f446044cdb0742a31de34c3f8c7853	0.0%	82.8%	125.9 MB
4	88/7a0f36	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-06 19:02:24.021	2025-09-06 19:02:48.055	24.1s	22.5s	466 MB	393.7 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/88/7a0f36f18d4e042469b4c1cb117772	0.0%	82.0%	126 MB
5	28/053f60	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-06 19:02:24.018	2025-09-06 19:02:48.134	24.2s	22.6s	467.6 MB	398.8 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/28/053f60a8b13dcae716ef2011d82034	0.0%	82.4%	126 MB
