task_id	hash	process	tag	status	exit	container	cpus	time	disk	memory	start	complete	duration	realtime	read_bytes	write_bytes	workdir	%mem	%cpu	vmem
2	87/9da68a	UMI_PIPELINE:PARSE_BED	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-08-12 18:07:04.598	2025-08-12 18:07:05.526	1s	7ms	0	4 KB	/media/qf0297/sequencing/umi-pipeline-nf/work/87/9da68a8362dc2f9d404c85ee950156	0.0%	54.2%	0
5	16/70a89a	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-08-12 18:07:04.899	2025-08-12 18:08:10.854	1m 6s	1m 4s	98 MB	81.3 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/16/70a89a717e35ab73610491b11ff678	0.0%	7.6%	125.9 MB
12	54/7b2ce6	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-08-12 18:07:04.900	2025-08-12 18:08:29.279	1m 24s	1m 22s	125.4 MB	106 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/54/7b2ce631372f3d05287700cd2bf999	0.0%	7.7%	125.9 MB
29	b7/921870	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-08-12 18:07:04.623	2025-08-12 18:08:31.185	1m 27s	1m 25s	134.9 MB	115 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/b7/921870fae2ac84a38e738c8890c87b	0.0%	7.9%	125.9 MB
23	26/a07f55	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-08-12 18:07:04.801	2025-08-12 18:08:42.701	1m 38s	1m 36s	143.9 MB	120.9 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/26/a07f55bc528fac29fc43a5a9366128	0.0%	7.3%	125.8 MB
8	f8/b6120b	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-08-12 18:07:04.624	2025-08-12 18:09:17.523	2m 13s	2m 11s	203.4 MB	172 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/f8/b6120b4dbf0e1b6c68adc2cbbbe4fd	0.0%	7.5%	126 MB
34	93/83b9fe	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-08-12 18:08:31.285	2025-08-12 18:09:22.161	51s	50.4s	75.5 MB	64.9 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/93/83b9fec4a02d43b47ff4282d7f24a2	0.0%	7.8%	125.8 MB
24	30/253fc1	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-08-12 18:07:04.704	2025-08-12 18:09:30.359	2m 26s	2m 24s	233.6 MB	195.2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/30/253fc184220f1ca7f340673787e63b	0.0%	8.0%	125.8 MB
13	8c/4d66ff	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-08-12 18:07:04.702	2025-08-12 18:12:02.048	4m 57s	4m 56s	465.7 MB	395.7 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/8c/4d66ff5e4a1a0fab08e07ffd7afc31	0.0%	7.9%	125.9 MB
25	09/163f4f	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-08-12 18:07:04.802	2025-08-12 18:12:04.291	4m 59s	4m 57s	461.8 MB	386.7 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/09/163f4fa2e33dbdcc15690b709810dc	0.0%	7.8%	125.9 MB
21	30/be09a1	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-08-12 18:07:04.614	2025-08-12 18:12:05.779	5m 1s	5m	464.7 MB	392.3 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/30/be09a1ba2a803c62bc8ce4283e7c1b	0.0%	7.8%	125.8 MB
15	06/c7d932	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-08-12 18:07:04.698	2025-08-12 18:12:06.373	5m 2s	5m	465.3 MB	393 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/06/c7d932889834ebb9d8d9ed625fde05	0.0%	7.7%	125.9 MB
17	65/2497bc	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-08-12 18:07:04.613	2025-08-12 18:12:06.665	5m 2s	5m 1s	466.3 MB	395.5 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/65/2497bcfc287b12dd16431197567884	0.0%	7.7%	126 MB
7	bf/77121b	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-08-12 18:07:04.623	2025-08-12 18:12:07.234	5m 3s	5m 1s	468.7 MB	398.5 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/bf/77121b8ac81dd05e76edc5b0344b54	0.0%	7.8%	126 MB
