task_id	hash	process	tag	status	exit	container	cpus	time	disk	memory	start	complete	duration	realtime	read_bytes	write_bytes	workdir	%mem	%cpu	vmem
1	d0/1aaa1a	UMI_PIPELINE:PARSE_BED	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:47:27.021	2025-09-03 04:47:29.062	2.1s	11ms	0	4 KB	/media/qf0297/sequencing/umi-pipeline-nf/work/d0/1aaa1a3a692b35ef25dd5d536df49c	0.0%	60.4%	0
12	ab/d9148d	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:47:27.025	2025-09-03 04:48:09.083	42.1s	41.1s	116.4 MB	93.6 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/ab/d9148d01e92ae4a5596f2ee5c9dd30	0.0%	13.6%	125.8 MB
29	42/b4a14f	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:48:09.584	2025-09-03 04:48:11.286	1.8s	1.2s	2.7 MB	37.1 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/42/b4a14fd97a336a6050d4730826c841	0.3%	1592.8%	25.8 GB
30	96/189136	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:48:11.386	2025-09-03 04:48:14.400	3.1s	2.5s	584 KB	93.5 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/96/1891363e667d924692d24ee4ac2932	0.0%	99.9%	124.8 MB
31	14/0d3890	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:48:14.701	2025-09-03 04:48:16.612	2s	1.4s	528 KB	65.6 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/14/0d38908675fd508f82ae4e3c97671e	0.0%	100.3%	128.1 MB
26	64/af7191	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:47:27.225	2025-09-03 04:48:19.378	52.2s	49.6s	83.4 MB	71.2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/64/af7191122fb94f5be06670996dc652	0.0%	9.0%	125.8 MB
5	6a/29fa37	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:47:27.025	2025-09-03 04:48:20.002	53s	50.7s	98 MB	81.3 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/6a/29fa37a766d016d03afc6f47305d3a	0.0%	10.1%	125.9 MB
32	a4/d9d6c8	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:48:19.678	2025-09-03 04:48:21.664	2.1s	1.3s	4 KB	28.1 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/a4/d9d6c856d90cfd7370568bdbf725ee	0.0%	1172.8%	823.3 MB
33	ae/b8d870	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:48:20.411	2025-09-03 04:48:22.245	1.9s	1.2s	0	32.4 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/ae/b8d87071873c28b03b7d07353726a4	0.1%	1493.2%	25.9 GB
34	78/b31d91	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:48:21.763	2025-09-03 04:48:24.213	2.5s	1.9s	0	71.2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/78/b31d9154ccdcd46dc3cf61c949b720	0.0%	100.9%	124.8 MB
