sample	barcode
HG03007	barcode01
HG00653	barcode02
HG03864	barcode03
HG03064	barcode04
HG03585	barcode05
HG00654	barcode06
HG03869	barcode07
HG03069	barcode08
HG03808	barcode09
HG00704	barcode10
HG04015	barcode11
HG03212	barcode12
HG03809	barcode13
HG00705	barcode14
HG04018	barcode15
HG03378	barcode16
HG03902	barcode17
HG00115	barcode18
HG04198	barcode19
HG03436	barcode20
HG03908	barcode21
HG00116	barcode22
HG04206	barcode23
HG03439	barcode24
HG04152	barcode25
HG00128	barcode26
NA18952	barcode27
HG03484	barcode28
HG04153	barcode29
HG00133	barcode30
NA18953	barcode31
HG03485	barcode32
HG04171	barcode33
HG00149	barcode34
NA18970	barcode35
HG01589	barcode36
HG04176	barcode37
HG00151	barcode38
NA18978	barcode39
HG01593	barcode40
HG01029	barcode41
HG00252	barcode42
NA18999	barcode43
HG02655	barcode44
HG01046	barcode45
HG00255	barcode46
NA19000	barcode47
HG02657	barcode48
HG01811	barcode49
NA20862	barcode50
NA19072	barcode51
HG02737	barcode52
HG01812	barcode53
NA20866	barcode54
NA19074	barcode55
HG02778	barcode56
HG02180	barcode57
NA20892	barcode58
NA19017	barcode59
HG03022	barcode60
HG02181	barcode61
NA20895	barcode62
NA19024	barcode63
HG03234	barcode64
HG02385	barcode65
NA21088	barcode66
NA19313	barcode67
HG03762	barcode68
HG02386	barcode69
NA21089	barcode70
NA19317	barcode71
HG03765	barcode72
HG00421	barcode73
NA21104	barcode74
NA19355	barcode75
NA18867	barcode76
HG00422	barcode77
NA21108	barcode78
NA19375	barcode79
NA18868	barcode80
HG00536	barcode81
NA21137	barcode82
NA19399	barcode83
NA19092	barcode84
HG00543	barcode85
HG03715	barcode86
NA19401	barcode87
NA19098	barcode88
HG00595	barcode89
HG03778	barcode90
NA19462	barcode91
NA19189	barcode92
HG00607	barcode93
HG03779	barcode94
NA19466	barcode95
NA19190	barcode96
HG03593	barcode97
HG00657	barcode98
HG03965	barcode99
HG03079	barcode100
HG03600	barcode101
HG00672	barcode102
HG03971	barcode103
HG03085	barcode104
HG03817	barcode105
HG00105	barcode106
HG04020	barcode107
HG03397	barcode108
HG03824	barcode109
HG00107	barcode110
HG04056	barcode111
HG03419	barcode112
HG03931	barcode113
HG00122	barcode114
HG04212	barcode115
HG03446	barcode116
HG03934	barcode117
HG00123	barcode118
NA18940	barcode119
HG03457	barcode120
HG04156	barcode121
HG00139	barcode122
NA18960	barcode123
HG03558	barcode124
HG04159	barcode125
HG00141	barcode126
NA18963	barcode127
HG03559	barcode128
HG00844	barcode129
HG00231	barcode130
NA18985	barcode131
HG02600	barcode132
HG00851	barcode133
HG00240	barcode134
NA18993	barcode135
HG02603	barcode136
HG01797	barcode137
HG00259	barcode138
NA19054	barcode139
HG02694	barcode140
HG01799	barcode141
HG00264	barcode142
NA19055	barcode143
HG02696	barcode144
HG02151	barcode145
NA20877	barcode146
NA19077	barcode147
HG02784	barcode148
HG02155	barcode149
NA20878	barcode150
NA19078	barcode151
HG02792	barcode152
HG02377	barcode153
NA20899	barcode154
NA19030	barcode155
HG03625	barcode156
HG02379	barcode157
NA20901	barcode158
NA19038	barcode159
HG03636	barcode160
HG02390	barcode161
NA21095	barcode162
NA19332	barcode163
NA18499	barcode164
HG02391	barcode165
NA21097	barcode166
NA19338	barcode167
NA18501	barcode168
HG00451	barcode169
NA21125	barcode170
NA19380	barcode171
NA18874	barcode172
HG00475	barcode173
NA21127	barcode174
NA19391	barcode175
NA18915	barcode176
HG00566	barcode177
HG03742	barcode178
NA19435	barcode179
NA19114	barcode180
HG00583	barcode181
HG03772	barcode182
NA19437	barcode183
NA19129	barcode184
HG00614	barcode185
HG03781	barcode186
HG03052	barcode187
NA19201	barcode188
HG00625	barcode189
HG03785	barcode190
HG03054	barcode191
NA19204	barcode192
