Organism	Start	End	Length
Bacillus_subtilis	2788871	2793296	4426
Escherichia_coli	3883134	3887613	4480
Listeria_monocytogenes	1610875	1615455	4581
Lactobacillus_fermentum	97023	101514	4492
Staphylococcus_aureus	727984	732538	4555
Salmonella_enterica	2522723	2527280	4558
Pseudomonas_aeruginosa	421672	426166	4495
Enterococcus_faecalis	1088079	1092379	4301
